outermost	最も外側の|最も遠くの
megalith	(特に|先史時代の遺物である)巨石
bursar	(大学の)会計係
inquisitor	調査官|(不当に厳しい|意地悪な)尋問者|(I-で)宗教裁判官
gullible	だまされやすい|のろまな(gull|羽毛の生えそろっていないまだ飛べない鳥)
biogenesis	生物発生
obviate	未然に防ぐ
smuggler	密輸業者|密輸船|密輸入者
busily	忙しく
synovial	滑液の|滑膜(の)
breve	短音記号(特に詩などで|母音が短音であることを示すための(^)の記号)
spearfish	any of several large vigorous pelagic fishes resembling sailfishes but with first dorsal fin much reduced; worldwide but rare|any of several large vigorous pelagic fishes resembling sailfishes but with first dorsal fin much reduced|worldwide but rare
headlong	まっさかさまに|向う見ずに|真逆様に|直に
captor	逮捕者|賞品獲得者|捕らえる人
indelible	消すことのできない|書いたら消えない|忘れられない
alkalinity	アルカリ性
whiteness	白さ|青白さ|潔白
pentacle	五角の星形(魔よけなど神秘的象徴として用いられた)
immunohistochemical	免疫組織化学の
slop	こぼれる|こぼす|はね|衣服|ゆるい作業服|安物の既製服|不器用によそう|ぬかるみを歩く
unfulfilled	満たされていない
fluently	流暢に|すらすらと
saraband	サラバンド
leaven	イースト|酵母|潜在的影響力|(集団内部からおこる)改革向上意識
outstretch	〈手など〉‘を'伸ばす|広げる|〜‘を'枠(わく)(限界)を越える
wellspring	(無限に供給できる)源泉
tarry	ぐずぐずする|遅れる(delay)|滞在する(stay)
possessor	所有者|占有者
unobserved	観察されない|気づかれない|守られない
hous	ハウジング
exegesis	説明|解説|解釈
piscine	of or relating to fish
prat	まぬけ|ばか
intraocular	眼内
skilful	=skillful
squelch	ビシャビシャ音を立てて進む|鎮圧する
flattery	おせじ
backrest	背もたせ
dilatation	拡張
anticipatory	予想の
repulsion	反感|反発|反発力|撃退
drench	びしょ濡れ|浸す
lycopene	リコペン
assignable	割当ができる
interfacial	relating to or situated at an interface; "an interfacial layer"; "interfacial tension is the surface tension at the interface between two liquids"|relating to or situated at an interface
zebrafish	ゼブラフィッシュ
lassie	(スコットランド方言)娘|少女|お嬢さん
bismuth	蒼鉛(そうえん)(金属元素;化学記号はBi)
weatherstrip	目張り|目ばり
unconnected	関係(関連)のない|筋の通らない
airstrip	臨時滑走路|仮設滑走路
mrd	電子辞書
ovum	卵|卵子
colonize	植民する
charmer	蛇使い|美女
lantana	ランタナ(香気のある熱帯植物)
seasonality	季節性
reassign	再び割り当てる
whisker	ほおひげ|ひげ|わずかの差
unobstructed	とんとん拍子
hydrogenate	〜‘に'水素添加する;〜‘を'水素処理する
spenser	スペンサー
endow	に与える|を授ける
permanency	〈U〉=permanence|〈C〉永続的なもの(人|地位)
sleet	みぞれ(が降る)|雨氷
allay	(興奮など)を静める|calm|和らげる|軽くする|減らす
zoster	eruptions along a nerve path often accompanied by severe neuralgia
transcontinental	大陸横断の
petrel	ウミツバメ
misinterpretation	誤解|誤訳
laxative	下剤(の)|通じ薬(の)
ungodly	神を恐れない|不信心の・《話》ひどい|無茶な・（時刻が）とんでもない・罪深い
supersymmetry	超対称理論
chelation	＜chelate|キレート(錯体)を作って除去･浄化すること|キレート化して除去すること
preemie	早産児|未熟児
ois	agency that oversees the intelligence relationships of the Treasury's offices and bureaus and provides a link between the Intelligence Community and officials responsible for international economic policy
spectacularly	見事に
bonito	カツオ|鰹
quince	マルメロ(の実)|西洋カリンとも呼ばれる
montagu	モンタギュー
springbok	スブリングボック
constriction	圧縮|圧縮された部分|収縮|締め付けるもの|くびれ
babbler	片言をいう幼児|おしゃべり屋
troubadour	吟遊叙情詩人
fibrinogen	フィブリノゲン|肝臓で合成され|血漿中に溶解している糖タンパク質
covet	切望する|むやみにほしがる|むさぼる
saree	サリー
cephalexin	セファレキシン
handsomely	みごとに
skyway	航空路|空路
achiever	成功者|勝利者|勝者|覇者|ウイナー
multiracial	多民族の
politburo	共産党政治局
corticosteroid	副腎皮質ステロイド|コルチコイド|コルチコステロイド
soapy	石鹸の(ような)|お世辞たっぷりの|メロドラマのような
savin	procumbent or spreading juniper
untenable	(陣地など)守れない|支えられない|(理論・立場など)支持できない|筋道の立たない
microbe	細菌
dreadnought	battleship that has big guns all of the same caliber
oratory	雄弁(術)|修辞|小礼拝堂
beautician	美容師
fingerboard	(弦楽器の)指板
xxvii	the cardinal number that is the sum of twenty-six and one|being seven more than twenty
grueling	罰する
downwind	風の方向に進む|追い風の|風と同じ向きに|追い風で
libelous	名誉毀損の|中傷的な
tardy	遅々とした|遅い|遅刻
seaward	海の方へ|海に向かう|(風が)海からの
deplete	消耗させる|使い尽くす|枯渇させる|奪う
uppermost	(階級･権力)最高の|最優位の|最上の
eib	電子ブック
hermetic	密封した
albuterol	アルブテロール
mentation	思惟作用|大脳作用|思索|考えること|考慮|了簡|思慮|知的活動|思量|念慮
showing	展示(会)|外観|説明|できばえ
tare	カラスノエンドウ(牧草)|《通例複数形で》有毒な雑草(新約聖書「マタイによる福音書」から)
cardamom	カルダモン|ショウガ科の多年草
seedy	種の多い
multicolored	色とりどりの
industrious	勤勉な
trestle	架台(木馬のような形をした台で|これを二つ並べ板を載せるとテーブルになる)|構脚(谷間に鉄道・道路を通すための脚立形の構造物)|=trestle bridge
temporally	時間的に
attractively	魅力的に
percussionist	打楽器奏手
stilt	竹馬
sleepover	外泊
adopter	養親
anglian	one of the major dialects of Old English
tamarack	アメリカカラマツ;〈U〉その木材
promontory	岬(headland)|(突き出た)断崖|(解剖)岬(こう)角(骨の著しく突出している場所)
narcissism	自己陶酔(症)|自(己)愛|自己中心主義
disarray	混乱(させる)|無秩序|だらしない服装
implosion	内破|内部分裂
falsification	(書類などの)偽造;(事実などの)ごまかし|虚偽の申し立て
verapamil	ベラパミル
slaw	スロー|coleslaw(細かく切ったキャベツを使ったサラダの一種)
moisturize	加湿
geomorphology	地形学
superhighway	幹線高速道路
scud	すばやく動く|疾走する(こと)|ちぎれ雲|スカッドミサイル|第二次大戦中ドイツが開発したV2ロケットのソ連版コピー|TEL(Transporter Erector Launcher)から発射でき機動力に優れる
habitually	常に|常々
markdown	値下げ|プライスダウン(和製英語)
voiceover	ボイスオーバー(VO)|映画やテレビなどで|画面に現れない話者の声(場面の叙述など)を用いる表現手法
reprieve	死刑の執行延期|刑の執行を猶予する
squeegee	とんま|まぬけ|ゴムぞうきん|スキージ|抜作|にゴムぞうきんをかける|ゴムぞうきんでふき取る
hebei	河北
archetypal	原型的な|典型的な
shirk	避ける|を回避する|責任逃れする
docent	(大学の)講師
brimstone	硫黄(=sulfur)
tyndall	ティンダル山
tantalum	タンタル(希有金属元素;化学記号は Ta)
swagger	威張った歩き方|自慢(する)|ほらを吹く|威張って歩く
cupola	丸屋根 = dome
embellish	飾る|装飾する
flipside	レコードの裏面(B面)
emplacement	設置|位置|砲座|銃座
renin	レニン
nonmetallic	not containing or resembling or characteristic of a metal; "nonmetallic elements"|not containing or resembling or characteristic of a metal
undersecretary	次官(deputy secretary|大臣|長官の補佐)|政務次官
benzyl	ベンジル|ベンジル基
austere	厳しい|厳格な|質素な|禁欲的な|陰鬱な
cowhide	〈U〉〈C〉牛の生皮|〈U〉(仕上げた牛皮)|〈C〉牛皮のむち
peerage	貴族|貴族社会|爵位|貴族名鑑
diabolical	悪魔の(ような)|極悪非道の|不愉快な
unspoiled	損なわれていない|甘やかされていない|昔のままの
infirmity	虚弱|病弱
haughty	おうへいな|傲慢な|偉そうに構えた|お高くとまっている
aum	オウム|オウム真理教
maharaja	マハラージャ
narcissistic	自己陶酔的な
pester	を悩ませる|を困らせる|にうるさくせがむ
expound	説明する|明細に説く|解釈する|述べる
musicology	音楽学
pauling	ポーリング
semiannual	半年ごとの|年2回の
apathetic	無感動な|無感情な|冷淡な|無関心な
fortify	の防衛を強化する|を固める|を元気づける|の栄養価を高める
uninteresting	arousing no interest or attention or curiosity or excitement; "a very uninteresting account of her trip"|arousing no interest or attention or curiosity or excitement|characteristic or suggestive of an institution especially in being uniform or dull or unimaginative; "institutional food"|characteristic or suggestive of an institution especially in being uniform or dull or unimaginative
subdivide	再分割する|再分する
equitably	公平に|公正に|正当に
centralization	集中化
hydrophilic	親水性の
biennale	隔年(2年に1度)行事|ビエンナーレ(ベニスの隔年美術展)
duress	拘束|監禁|強要|強迫
bluefish	青魚|アジ|ニシン|スズキなど
couldn	couldn’t
gyroscope	ジャイロスコープ|回転儀
deft	器用な
kwanza	クワンザ|クワンザ
doable	することのできる|可能で
frostbite	凍傷
progestin	プロゲスチン(黄体ホルモン物質)
prefab	プレハブ住宅|プレハブ式の
whizz	びゅーと飛ぶ
bluebell	空色のつり鐘形の花をつける植物の総称;スコットランドのイトシャジン|米国のハマベンケイソウなど
paintbrush	ペンキ用のはけ|絵の具ばけ|絵筆|塗料ばけ
portico	玄関
acetyltransferase	アセチルトランスフェラーゼ|一つの化合物のアセチル基を他の化合物へ転移する反応を触媒する酵素|アセチル基転移酵素ともいう
grandiose	大げさな|仰々しい|壮大な
wormhole	(木材の)虫穴|(地面の)虫の通り穴
classifiable	弁別的
concisely	簡潔に
scepticism	(英式綴)懐疑論|懐疑的な見方(米はskepticism)
laparoscopy	腹腔鏡検査
fitter	衣文方
germanium	ゲルマニウム(希金属元素;化学記号はGe)
constancy	恒常性
countryman	同国人|田舎者
wingspan	翼スパン|翼長|翼幅
allergenic	relating to or having the effect of an allergen
revolutionise	fill with revolutionary ideas|change radically; "E-mail revolutionized communication in academe"|change radically
buncombe	=bunkum
lempira	レンピラ(ホンジュラスの貨幣単位)
thrall	奴隷(の状態)|を奴隷化する|束縛
insufficiently	不十分に
hick	田舎者
boudoir	婦人の寝室
crutch	松葉杖|支え|股(UK英|米語はcrotch)
famer	殿堂入り
quandary	困惑|ジレンマ|解決できない問題
microsatellite	マイクロサテライト
diploid	2倍体(2つで1対から成る染色体のセットを持つ細胞)|複相体|cf|triploid(3倍体)|tetraploid(4倍体)|haploid(半数体)
cybercrime	サイバー犯罪
discursive	多方面にわたる|散漫な|次々に飛ぶ
unpaved	not having a paved surface
amble	ぶらぶら歩く|のんびりと歩く
lampshade	ランプの傘
repudiation	放棄|拒絶|否認|離婚
sura	腓腹|ふくらはぎ
lye	(合成)洗剤|クレンザー|アルカリ液|アク|灰汁|灰汁処理する
worrisome	くよくよする|厄介な|気にかかる|苦労性の|心配な
yagi	a sharply directional antenna
seafront	シーフロント|海に面した側|海岸通り|海岸遊歩道
mormonism	モルモン教
frieze	一種の羅紗
sunblock	日焼け止めクリーム
tole	喧嘩騒ぎ|トール|街頭で行われる喧嘩
heliport	ヘリポート(ヘリコプター発着場)
inhabitant	住んでいる人|住民|居住者|住人|生息動物
antithesis	正反対|対照(法)|アンチテーゼ
ardour	情熱|熱情|熱意|情熱|熱情|熱血|血気|鋭気|熱|情熱|熱烈さ|熱情|熱意|熱血|いき込み|熱心さ|真剣|血気
levant	a heavy morocco often used in bookbinding|the former name for the geographical area of the eastern Mediterranean that is now occupied by Lebanon, Syria, and Israel|run off without paying a debt
frailty	弱さ
mandible	(哺(ほ)乳動物・魚の)あご;(特に)下顎骨(かがっこつ)(下あごの骨)|(鳥の)下くちばし;《複数形で》両くちばし|(昆虫の)大あご
airfoil	《おもに米》翼形|翼(《英》aerofoil)
spender	金を使う人|浪費家
warthog	イボイノシシ
pathogenicity	病原性
talkative	おしゃべりな|話し好きの
deselect	〈特に職業訓練生〉‘を'解雇する
effectuate	達成する
sleaze	やすっぽいこと|低俗
joust	(中世騎士の)馬上槍試合(をする)|試合(競技)に出る(参加する)
matriculation	大学入学許可|入学資格試験
counterclaim	反対要求|(特に)反訴
gremlin	グレムリン(第二次大戦中|飛行機のエンジンに故障を起こさせると言われた小悪魔)
orgasmic	オルガスムの
intubation	(医)胃腸･気管等に挿管すること
neoplasia	the pathological process that results in the formation and growth of a tumor
epistemic	of or relating to epistemology; "epistemic modal"|of or relating to epistemology
leeway	(時間的･金銭的)余裕|行動の自由|大目にみること
pigmentation	染色
lumpy	固まりだらけの
landlocked	内陸国|海岸線がない国
photoelectric	光電の(光によって起こされた電気的影響の)
embattled	戦備を整えた|布陣した|敵(軍)に包囲された
massif	中央山塊
diminution	減少(額)|低下
southernmost	最南端の
embezzlement	横領|使い込み|着服
dowry	持参金|女性からの持参金
confiscate	没収する|徴発する|差し押さえる
brownstone	褐色砂岩|ブラウンストーン(建築材料)|それを正面に張った家
positivity	陽性
camelback	らくだの背　ボイラーの上に機関手室のある蒸気機関車　キャメルバック(タイヤ用の加硫しない再生ゴム)
beautification	美化|装飾|盛装(粧)
fiscally	財政的に
cesium	セシウム|元素記号Cs|Cs133は比振動数が原子時計に使われる|ウラン核分裂生成物としてCs137はベータ線を出し半減期も30年と長く|死の灰や原発事故放射性降下物として問題となる
yippee	きゃあ|わあい
unary	consisting of or involving a single element or component; "in a unary operation in a mathematical system one element is used to yield a single result"|consisting of or involving a single element or component
optician	(特に)眼鏡商|光学器機商
bolus	大きい丸薬(動物用)
grater	おろし金(がね)
cud	食い戻し|反芻動物が胃から戻して噛む食物
deadbeat	なまけ者|のらくら者(=loafer)|借金を踏み倒す人
pyridine	ピリジン
loggerhead	アカウミガメ(大西洋産)|《おもに方言》ばか者
slowness	遅いこと|緩慢
xylophone	木琴
wrongfully	不当に
klick	km|粁|キロメートル
dobra	ドブラ
theophylline	テオフィリン
disband	解散する
lectern	講演者用の机|(教会の)聖書台
more	より多くの|もっと多くのこと
sanctification	神聖化|奉納|罪を清める(清められる)こと
indignant	憤概した|憤慨した|怒った|憤然とした
godless	神を否定した
shopgirl	女店員
zit	にきび
politeness	ていねい|礼儀正しさ|丁重さ
hurriedly	あわただしく|大急ぎで
conservatively	控えめに
acquiesce	黙認する|不本意ながら従う
characterise	特徴付ける|特色付ける|特徴づける|特色づける|特徴付ける|特色付ける|特徴づける|特色づける
fingertip	指先|いつでも使える
oled	有機エレクトロルミネッセンス
willpower	意志力
media	(mediaはmediumの複数形)|マスコミや報道|中間にあるもの|間に入って媒介するもの
snicker	くすくす笑い
chandlery	candles and other commodities sold by a chandler|a storeroom where candles are kept
neophyte	新改宗者|初心者|初学者|新参者
aphid	アブラムシ
ick	嫌なもの
omicron	(第15ギリシア文字)オミクロン|Ο|ο
perchlorate	過塩素酸塩
boldface	ボールド体
laborious	骨のおれる
deaconess	慈善事業女性会員|女子執事
magnate	大立者|有力者|大実業家
atropine	アトロピン
origen	オリゲネス
myrrh	ラム酒|没薬|没薬を採る木
travesty	こっけい化|滑稽化
showy	人目を引く|目立つ|目覚ましい能力を見せる|派手な
altruistic	利他的な|愛他的な
pestilence	ペスト|伝染病|悪疫|腺ペスト|害悪|弊害
backflow	a flow that returns toward its source
immunofluorescence	免疫蛍光
geneticist	遺伝学者
defiantly	挑戦的に
amoxil	アモキシシリン
scrambler	はうようにして進む人(物)|周波数帯変換器
pathos	ペーソス|パトス|哀感|情念|哀愁
smartly	厳しく|こぎれいに|すばやく|ひどく|強く|抜け目なく|利口に
nephropathy	腎症
argumentative	議論好きの|論争的な
wisteria	フジ|藤
snout	(特に大きな)鼻|鼻先状の物|機首|(豚などの)鼻づら|筒先|氷河の末端
directorial	指揮者の|指揮上の
condiment	調味料|香辛料|薬味
aloof	離れて|遠く離れて|遠ざかって|風上の方に
teat	乳首|(哺乳動物の)乳頭|小袋|乳頭状突起|哺乳瓶の乳首
cubby	a small secluded room
capitalisation	現価|現価|現価|現価
debutante	初めて社交界に出る少女|初舞台の女優
bioremediation	バイオレメディエーション|バイオレメディエーション
validly	with validity; in a valid manner; "this may not validly be done"|with validity|in a valid manner
rematch	再戦
faberge	フェイバージュ
unsound	不健全な|健康でない|根拠不十分な|不合理な|(会社など)堅固でない|信用できない
mange	(méɪndʒ) (犬･牛などの)皮癬(ひぜん)|疥癬(かいせん|毛が抜ける)
silty	沈泥の;沈泥が詰まった
profusely	過度に|豊富に
rebroadcast	再放送|再放送番組|中継放送|再放送する|中継放送する
bearish	(株式市場が)下がり気味の|弱気筋の|熊のような|乱暴な|無作法な
reverie	夢想
colloquial	日常会話の|口語の|話しことばの|くだけた
thievery	盗み|盗品
credenza	a kind of sideboard or buffet
homesick	ホームシックの
undercurrent	下層流
hymnal	賛美歌集|賛美歌の|聖歌の
gainer	利益を得た(得る)人;勝利者
ochre	黄土色
heartbreaker	人の心を傷つける人(女)|(特に恋人を振って)男の心を痛ませる女
hemolytic	溶血性
lupine	ハウチワマメ(マメ科植物)|オオカミの(ような)
distiller	酒造家|蒸留酒製造業者|蒸留器
encyclopedic	百科事典的な|知識の広い|博学な|博学の
varicella	水痘
slink	こっそり逃げる|こそこそ歩く|を早産する
ironwork	《集合的に》鉄製品;《複数形で》製鉄所;鉄工所
imprecise	不正確な|不明確な
peal	響き|轟き|鳴り響く|轟く|(peel|皮をむく|は別語)
tourette	トゥレット症候群(Tourette syndrome)|チックという一群の神経精神疾患の内|音声や行動の症状のもの|小児期に発症し約半数は18歳までに消失するとされている
unfilled	満たされていない
twit	愚か者|ばか者
exuberance	豊かさ|豊富
endotoxin	エンドトキシン(内毒素)は|グラム陰性菌の細胞壁の成分 (toxinは毒素の意)
unnumbered	番号の付いていない|数えきれない|無数の
encyclical	(ローマ教皇が世界の全司教に与える)回勅
centipede	ムカデ類
wonk	仕事に専念する
checkerboard	チェッカー盤|市松模様|黒人白人混在地区
undying	不死の|永遠の|終りのない
stubble	刈株|麦の切株|無精ひげ
anhydride	無水化合物|酸無水物
appendicitis	虫垂炎(いわゆる盲腸炎)
caliph	カリフ(もと|イスラム教教主兼国王としてのマホメットの後継者たちに与えられた称号)
stator	固定子
overplay	大げさな演技をする
existentialism	実存主義
defenseman	ディフェンスマン
toastmaster	乾杯の辞を述べる人|宴会の司会者
uptight	緊張した|苦しい
chimeric	キメラの
cochise	Apache leader of the resistance to United States troops in Arizona (1812-1874)
jiggle	を軽くゆする|軽く揺さぶる
peacetime	平時(の)
impossibly	ありそうもなく
drunkenness	酩酊|酒気
habitable	住むことができる|住むのに適した
repellant	汚らわしい|苦々しい|醜穢|苦苦しい|キモイ|ぐろい|穢らわしい|いやらしい|忌忌しい|穢わしい
diatom	珪藻
snitch	を盗む|密告する|密告者
trapping	馬飾り
legume	豆科の植物|(豆の)さや
sanctify	神に奉納する|を神聖にする
strangle	を締めつける|を絞め殺す|窒息させる|を抑える
deconstruct	分解する
duomo	大教会堂
decorum	礼儀正しさ|礼儀作法(態度･服装･言葉遣いなど)
taffeta	タフタ|コハク織
psychopath	精神病者
detritus	(風化などによる)岩屑|砕岩|破片(の山)
galactose	ガラクトース(乳糖から得られる六炭糖)
honorarium	(講演者など一定料金のない人に対する)謝礼金
earthenware	土器|陶器
omelette	オムレツ
lenient	寛大な|緩やかな|優しい|情け深い|甘い
unscrew	ねじを抜く
idly	何もしないで|遊んで|ぼんやり|むなしく
fresher	新鮮
pinwheel	かざぐるま(=windmill主にUK英)|回転花火
sporadically	時々|散発的に|所々
hypothesize	仮説を立てる仮定する
devilish	悪魔のような
statin	スタチン
feedstock	the raw material that is required for some industrial process
haematology	血液内科|血液学
proteolytic	タンパク質分解の
aristocrat	貴族的な人
scathing	冷酷な|害する
ketamine	ケタミン
damnit	くそっ
autobahn	アウトバーン|ドイツの高速道路
sinker	沈むもの|彫る人|重たい物|1ドル|安硬貨|ドーナツ|井戸掘り人|(野球)シンカー
efflux	流出|流出するガス|流出物|放出放射束の
wandering	曲がりくねった
orang	オランウータン(Orangutan)
tirade	手厳しい非難|長広舌|長い弾劾演説
sulphide	硫化物
cultivator	耕作者|栽培者;養成者|耕運機(耕作・除草・土寄せなどの作業をする機械)
hijab	a headscarf worn by Muslim women; conceals the hair and neck and usually has a face veil that covers the face|a headscarf worn by Muslim women|conceals the hair and neck and usually has a face veil that covers the face|the custom in some Islamic societies of women dressing modestly outside the home; "she observes the hijab and does not wear tight clothing"|the custom in some Islamic societies of women dressing modestly outside the home
magus	古代ペルシアの僧|《文》魔術師
medulla	〈U〉骨髄|=medulla oblongata
regressive	逆進的な|後退の|退行する|退歩する|後ろ向きの|時代に逆行する
regrettable	(物事が)残念な|悲しむべき
sett	舗道用敷石|(金属加工用の)つぶし型
madrigal	恋歌|マドリガル(無伴奏の合唱曲)
pib	ペタバイト
codify	法典に編む|を成文化する|体系化する|分類する
zeolite	ゼオライト
quire	(紙の)1帖(じょう)(24または25枚)
scrappy	断片的な
creamery	酪農品製造所|酪農品販売店
stromal	＜stroma|間質の
loge	(劇場の)仕切席|特別席
silex	珪土|珪土
jezebel	イゼベル
lethargy	昏睡(病･状態)|無気力|不活発|無感覚
synchronicity	同期|同調|同時発生|同期性|同時性
gynecological	婦人科(病)の
clydesdale	heavy feathered-legged breed of draft horse originally from Scotland
lgb	a smart bomb that seeks the laser light reflected off of the target and uses it to correct its descent; "laser-guided bombs cannot be used in cloudy weather"|a smart bomb that seeks the laser light reflected off of the target and uses it to correct its descent
intermix	混ぜる
footstool	(腰掛けているときに用いる)足載せ台
counterpunch	カウンター|カウンターパンチ
norvasc	a vasodilator (trade name Norvasc) taken in tablet form; prescribed for hypertension and angina pectoris|a vasodilator (trade name Norvasc) taken in tablet form|prescribed for hypertension and angina pectoris
blindside	の無防備なところ(弱点)を突く|不意打ちを食らわす
painstaking	骨を折る|苦心する
finality	最終性|終局|結着|最終的言行
medallist	メダリスト|メダリスト
slinger	a person who uses a sling to throw something
sciatica	座骨神経痛
outstation	(地方の)出張所|支所
areal	of or relating to or involving an area
shakedown	試運転|整備(期間)
nonlinearity	非線形性
hurtful	傷つける(形)
rephrase	言い換える|言い直す
astigmatism	乱視|(光)非点収差
muddle	混乱|ごたごた|ごちゃごちゃにする|台なしにする
polyunsaturated	多価不飽和(の)
millennial	Millennial Generationミレニアル世代|1980-1990年代に生まれた世代|Generation Y(Y世代|1975-1989年に生まれた世代echo boomers)とも重なる
hemispheric	半球状
downy	綿毛のような|柔らかい|ふかふかした|綿毛入りの|綿毛でおおわれた
quantitation	定量(化)
kudzu	クズ(葛)(マメ科の多年草・牛馬の飼料)
characteristically	個性的に|特質上|特徴として|特徴的に
treatable	治療可能な
toroidal	of or relating to or shaped like a toroid; doughnut shaped|of or relating to or shaped like a toroid|doughnut shaped
smallholder	小自作農
doctorow	United States novelist (born in 1931)
megawatt	メガワット|100 万ワット
irregularly	不規則に
tourer	ツーリスト|行楽客|旅行家|ホリデイメーカー|漫遊客|観光客|ツーリングカー
aircrew	航空機乗組員(操縦士・客室乗務員など)
palisade	断崖|柵
septal	of or relating to a septum
slovene	a native of Slovenia|the Slavic language of Slovenes
moccasin	鹿皮製の靴
histo	ヒストグラム(度数分布図|柱状グラフ)の略
tabulate	表にする
sunray	(一条の)太陽光線|日光|《複数形で》(医療用)人工紫外線
collegian	大学生(college student)
terse	簡潔な
insistent	しつこい
lidocaine	リドカイン
monohydrate	一水和物
sterne	スターン
indomethacin	インドメタシン|非ステロイド性抗炎症薬の一つ|鎮痛作用も持つ
utile	有益な|役に立つ
supplication	嘆願|懇願
frightful	ぞっとするような|恐ろしい|ものすごい|醜悪な
waxy	蝋引きの|蝋質の|蝋状変性にかかった|カッとなった|柔軟な|青白い
trite	ありふれた|平凡な|使い古された
cystitis	膀胱(ぼうこう)炎
shard	(瀬戸物･陶器などの)(ガラス･陶器などの)破片|瀬戸かけ
supercritical	超臨界
dilapidate	bring into a condition of decay or partial ruin by neglect or misuse|fall into decay or ruin; "The unoccupied house started to decay"|fall into decay or ruin
bozo	(俗)やつ|武骨な男
mien	物腰|態度|様子
libertarianism	リバタリアニズム(新自由主義などいくつか訳がある)
nicad	a rechargeable battery with a nickel cathode and a cadmium anode; often used in emergency systems because of its low discharge rate when not in use|a rechargeable battery with a nickel cathode and a cadmium anode|often used in emergency systems because of its low discharge rate when not in use
stubby	切り株状の|ずんぐりした|ごわごわした
evangelistic	福音伝道者の
sixpence	6ペンス
galleon	ガリオン船(15-18世紀スペインの三(四)層甲板大帆船
charon	(Greek mythology) the ferryman who brought the souls of the dead across the river Styx or the river Acheron to Hades|the ferryman who brought the souls of the dead across the river Styx or the river Acheron to Hades
coniferous	球果を結ぶ|松かさをつける
phosphatidylinositol	ホスファチジルイノシトール|真核生物の細胞膜の細胞質側に存在するリン脂質の一つ
sickly	病弱な|健康に悪い|吐き気を催させる
denigrate	けなす|中傷する|黒くする|侮辱する|の人格を傷つける
reek	悪臭を放つ|悪臭|臭気|湯気
inexplicably	どういうわけか
efficacious	意図した効果を生ずる|効きめのある
chloramphenicol	クロラムフェニコール|クロロマイセチン
repairer	修繕屋
geodesy	測地学
kiddy	a young child
barnacle	フジツボ (acorm barnacle|rock barnacleなどはフジツボ目の総称)
pitfall	落とし穴
attenuator	an electrical device for attenuating the strength of an electrical signal
polysaccharide	多糖類|多糖の
disservice	ひどい仕打ち|あだ|害|injury
assessable	capable of being assessed especially for the purpose of taxation|capable of being considered carefully; "the assessable qualities of art"|capable of being considered carefully
