petite	(女性が)小柄な|小柄でこぎれいな|小柄で均整のとれた
savage	野蛮人|無礼な|下品な(ラテン語silvaticus｢森の｣から)|獰猛な|未開の
cubic	3次方程式|立方体の
deaf	聞こうとしない|耳が聞こえない
beg	施しを請う|(熱心に)請う|頼む|懇願する|求める
ritual	慣習の|儀式(の)|礼拝式|儀式的な行事
distortion	歪み|ゆがめること|歪曲
rig	艤装する装備する|談合する|八百長する|トレーラートラック|掘削装置
fuse	ヒューズ|信管|導火線|にヒューズを付ける|溶かす|溶ける|融合･連合する
workflow	ワークフロー|作業の流れ
rewrite	書き直す
neighbor	近所の人|隣人
historian	歴史家
vase	花瓶|壷|びん
holocaust	ホロコースト|ユダヤ人大虐殺
zombie	ゾンビ|zombi|ヘビ神|(俗)機械的動作をする人
reproductive	再生(再現)の|生殖の|多産の
preschool	学齢前の|就学前の|幼稚園
wade	苦労して進む|(ぬかるみ･雪道を)苦労して渡る
burke	締め殺す|(議案などを)握りつぶす|(うわさなどを)もみ消す
secretariat	書記|秘書室
shortage	数量の不足|不足|欠点
stool	丸椅子|腰掛け|足のせ台|2便器|大便(=excrement)
elimination	削除|除去|予選|排除|排泄|淘汰|消去
toss	を投げる|寝返りをうつ|を激しく動揺させる
jumper	跳躍する人|跳躍選手|跳びはねる虫(ノミ他)|障害馬|(ブラウスなどの上に着る)プルオーバー|作業用上着 (日本語のジャンパーはwindbreaker, jacket)
marijuana	マリファナ
adaptive	適用可能な
wheelchair	車いす
convergence	一点に集まること|収束|輻輳
phantom	幽霊|幻|幻影|幻像|人体模型|幻の|想像上の
humanitarian	人道主義者|人道主義の
nirvana	サンスクリットの仏教用語で|涅槃･解脱のこと
til	〜まで
colon	コロン(:)|植民農業者|大農園所有者|コロン(コスタリカなどの通貨単位)|結腸(盲腸・直腸をのぞいた大腸の大部分)
malpractice	背任行為|職務上の過失|医療過誤|不正治療
generous	気前の良い|気前のいい|豊富な
madness	狂気|熱中|熱狂
monk	修道僧|修道士|修道師
selective	選択の|注意深く選ぶ
mama	おかあさん|ママ|母様
primitive	原始的な|原始人|原始の|昔の|太古の|最初の|初期の
cardiovascular	心臓血管の|心血管|心臓血管
binoculars	双眼鏡
cardiac	心臓(性)の|心臓病の(患者)|強心薬|心臓病の患者
salvation	救世(主)|救済|魂の救済|救済物|(罪からの)救い
jerk	急にぐいと引く|むだに時間をつぶす|バカ|愚か者|世間知らず(若い人が用いる)
elevator	エレベーター
umbrella	傘|雨傘
pony	ポニー|小型の馬
brutal	けものの|残忍な|野蛮な|無茶な
velvet	ベルベット製の|ビロード|ベルベット|ビロード状のもの|丸もうけ
zinc	亜鉛|亜鉛でメッキをする
removable	移動できる
anthropology	人類学|人間学|文化人類学
kinda	いくぶん|ちょっと|(類似語sorta)
funky	悪臭のする|かびくさい|(ジャズ)ファンキーな
lotion	ローション|外用水薬|化粧水
