taxon	分類群
dimer	モノマー(単量体)が結合した重合体がオリゴマー(oligomer)で|数に応じダイマー(dimer|二量体)|トライマー(trimer|三量体)|テトラマー(tetramer|四量体)|ペンタマー(pentamer|五量体)と呼ぶ
catchy	評判になりそうな|覚えやすい
instalment	=installment
profligate	放蕩の
imperishable	不滅の|不朽の
preeminence	抜群|卓越
disband	解散する
corkscrew	らせん状の(に進ませる)|コルク栓抜き
baste	(焼くとき)〈肉など〉‘に'バターをぬる|油(たれ)をかける|〈布・服〉'を'仮縫いする
vanquish	を征服する|を克服する|勝つ
monism	(哲学理論での)一元論
righteously	正しく|公正に
amicably	友好的に|平和に
corp	法人|corporation
heroically	雄々しく
detainee	(外国人)抑留者|(特に政治的理由に基づく)被抑留(拘留)者
unlearn	〈学んだこと〉‘を'忘れる;〈考え・習慣など〉‘を'捨て去る
incorruptible	買収されない|腐らない;不朽の|不滅の
miscalculation	誤算|見込み違い
rata	比例の|比例する
unpalatable	口に合わない|まずい|不快な
obeisance	敬礼
remarriage	再婚
lawman	(昔の西部の)保安官
brownie	クルミ入りチョコレートケーキ|夜農家に来て仕事をする小妖精
unsuited	不適当な|適合しない;(〜に)不適当な《+to(for)+名》
disenchant	の魔法を解く
bedspread	ベッドカバー
walrus	セイウチ
startlingly	驚くほどに
continence	辞世|禁欲|節制|抑制|貞節
doleful	悲しい|悲しげな|憂いに沈んだ|陰鬱な
chamomile	=camomile
unsavory	(道徳的に)かんばしくない|いやな味(におい)がする|うまくない|不快な
pleura	ろく膜|胸膜
conspirator	共謀者
writ	(古語)writeの過去･過去分詞|(法律)令状|a writ of summons召喚状
indole	インドール|花のような香りがあり|天然ジャスミン油等に含まれる|室温では固体で排泄物臭を発散する|名前は植物由来の染料のインディゴに由来
acetonitrile	アセトニトリル|分子式CH3CNと表される最も単純なニトリルである|化学工業製品の原料や溶媒として用いられる
lintel	まぐさ(楣|入り口･窓の上の横木|建築用語)|楣石|リンテル
porthole	蒸気口|舷窓(ふなべりの小さな窓)
consumptive	消費の;消耗させる|破壊的な;(〜を)消費する《+『of』+『名』》|《古》肺結核の|肺病患者
lightbulb	電球
molestation	いじめる|苦しめる|(女性･子供を性的に)いたずらする
separateness	別々になっていること|分離
gestalt	形態|ゲシュタルト
loyally	忠義を尽くして|忠実に
imperil	あやうくする|危うくする|危険にさらす
nightmarish	悪夢のような
scorch	焦げる|の表面を焼く|を焦がす|をしおれさせる|あぶる|焼け焦げ
subgraph	部分グラフ
molt	生え変わる|抜け変わる|脱皮する
snitch	を盗む|密告する|密告者
raisin	干しぶどう|レーズン
prefabricate	〈家〉‘を'プレハブ方式で建てる(組み立て用の規格部品単位で製造すること)|〈部品など〉‘を'前もって作り上げる
lac	ラック(ワニスの原料)
interment	埋葬|土葬
senatorial	上院(議員)の
prosecutorial	検察
invulnerable	不死身の|難攻不落の
weal	福祉|幸福|繁栄|みみずばれ(welt)
ergonomics	生物工学|人間工学
geyser	間欠泉
popularize	普及する
lifeblood	生き血|活力(元気)のもと|源泉|活力の元|生命
legalize	合法化する
aurora	極光|オーロラ|夜明け
spew	吐く|噴出する|にじみ出る|反吐(ヘド)
coffeehouse	コーヒー店
misadventure	不運|不運な出来事
ducal	公爵(duke)の|公爵らしい|公爵領の
thermos	(もと商標)魔法瓶|サーモス
denude	〜‘を'裸にする;(物を)〈人・物〉‘から'はぎ取る《+『名』+『of』+『名』》
alkalinity	アルカリ性
raster	ラスタ(テレビのブラウン管の走査線のしま模様)
fastball	(野球)スピードボール(和製英語)
fuzz	けば立つ|綿毛|けば
omelette	オムレツ
luminescent	冷光を発する
myrrh	ラム酒|没薬|没薬を採る木
copulation	性交|交接|連結|結合
fixate	固定する|定着する|凝視する|固定させる|定着させる
apotheosis	(人を)神に祭ること|神格化|神聖視|崇拝|理想|極致|究極の姿
disallow	否認する
cytoskeleton	細胞骨格
saunter	ぶらつく|のんびり散歩する|ぶらつくこと|逍遥
undignified	威厳のない|品位のない
marmalade	マーマレード
reptilian	は虫類の|はこう性の|卑しい
solvable	解決できる|(=resolvable)
buttonhole	ボタン穴|《英》ボタンの穴に入れる花|〈衣服〉‘に'ボタン穴をつける|〈人〉'を'引きとめて長話をする
crevasse	氷河の割れ目
vermilion	朱色の|朱色
perilously	危険なほどに
triviality	些細な事
subsoil	心土|底土(地表のすぐ下にある地層)
turnpike	(高速)有料道路|(highwayは普通無料である)
interrelation	(〜の間の)相互関係《+『between』+『名』》
rectory	牧師の住宅|牧師館(官舎)
hangout	すみか|たまり場|行きつけの所
gooey	ねばねばした|べたつく|くっつく
skein	(糸を巻く)かせ|(ガンなど飛ぶ鳥の)群れ|もつれ|混乱
atoll	環礁|環状サンゴ島
spittle	つば (cough and spittle咳とつば)
avulsion	摘出|剥離|裂離|捻除
cannibal	人肉を食う|人食いの|(名詞)人を食う人間|(形容詞)人を食う|共食い動物|食肉類
groundnut	《米》地下の豆状の部分が食物になるマメ科植物の総称;特にpeanut|《英》=peanut
roadblock	(路上の)バリケード|障害物
dissonant	調和しない
teahouse	(日本･中国の)茶店
ashram	アーシュラム(ヒンズー教の人々が宗教の教えを受けに来る所)
equipage	〈C〉馬車と従者の一団|〈U〉(軍隊・キャンプ用の)装備一式;《古》(一般に)一そろいの物
camphor	樟脳/ camphor tree 楠(クスノキ)|樟(クス)
sinewy	引き締まった|筋っぽい|筋骨たくましい|硬い|丈夫な|力のこもった|腱質の
laud	(大げさに)賞賛(する)|称賛(する)
unpaired	対になっていない
stardom	スターの身分
occlude	(通路･すき間などを)ふさぐ
deactivate	非活性化する|失活させる|スイッチを切る|動作を停止する|の使用をやめる|爆裂しないようにする|の現役任務を解く|解散する
clairvoyant	千里眼の|透視力|透視の
inhumanity	残酷(な行為)|不人情(な行為)
marksman	射撃の名手|狙撃兵|(米陸軍で)三級射手;射撃技能の最低資格[者]
hilarity	陽気な騒ぎ|浮かれ騒ぎ
limpid	透明な
hex	16進法|まじない|ジンクス|呪い|魔女|魔力|16進法の|魔法を行う|に不幸をもたらす|魔法をかける|魅する
alphabetically	アルファベット順に|ABC順に
exonerate	免除する|の容疑を晴らす|解放する
roach	ゴキブリ(=cockroach)|ローチ(コイ科の魚)|マリファナの吸いさし
tenable	持続できる
gage	質|抵当
irreversibly	不可逆的
desensitization	知覚鈍麻|脱感作
existentialist	実存主義(者)
exultant	大喜びの|歓喜の|勝ち誇った
denaturation	変性
draconian	(法律など)(きわめて)厳しい|苛酷な
deride	あざ笑う|あざける|あざわらう|ばかにする
homemaker	主婦
bauxite	ボーキサイト(アルミニウム原鉱)
secularist	俗主義者|教育(政治)宗教分離論者|世俗(現世)主義の
meristem	分裂組織
misappropriation	着服|横領
unusable	使用できない
psychosomatic	精神治療学の
unblemished	きず(汚点)のない|潔白な
wrathful	激怒した
diatom	珪藻
meteorology	気象学
impel	かりたてる|推進する|無理に～させる
moralistic	教訓的な
frostbite	凍傷
nab	逮捕する|ひったくる|不意に捕らえる|arrest
avenger	復讐者
equidistant	等距離で|等距離の(所にある)
phrasal	句の|句からなる
trumpeter	トランペット奏者|大声で知らせる人|ちょうちん持ち
silico	in silico(イン・シリコ)|in vivoやin vitroなどから派生した用語で|シリコン内での意味から「コンピュータを用いて」の意|バイオインフォマティクスなどで頻繁に見られる
lifeguard	監視員|救護員|護衛(者)|親衛隊|水泳場の看視員|排障器|lifeguardとして勤める|の生命を守る
semicolon	セミコロン
offhand	即席に|準備なしに|そっけなく|ざっくばらんに
tinsel	ぴかぴか光る金属片|金ぴかの|見かけ倒しの|うわべを飾る
phlegm	痰|粘液
unkindly	つれなく|不親切に|不人情に|冷たく
chessboard	チェス盤
marketer	マーケティング担当者
gazebo	見晴らし小屋|展望台|見晴らしの良いあずまや|belvedere|男|奴|野郎
inconsiderate	察しのない|思いやりのない|礼儀作法を心得ない|思慮分別のない|軽率な
pixie	妖精|小鬼|いたずら好きな
dyspepsia	ディスペプシア(消化不良|病名)
nunnery	女子修道院
lunacy	精神異常|狂気
bestial	野獣の|獣のような|下品な|凶暴な|知性に欠けた
treatable	治療可能な
convalescence	病気の回復|回復期
demurely	まじめに|しかつめらしいく|取り澄まして
unadulterated	混ぜ物のない|純粋の
morphogenesis	形態形成
zooplankton	動物プランクトン
headband	ヘッドバンド
cheetah	チーター
biomedicine	生体臨床医学(生体の化学と機能の関係を扱う)
gastritis	胃炎|胃痙攣
striker	ストライキをする人|撃鉄|打ち手|打つ人(物)
bridesmaid	花嫁の付き添い|花嫁の付き人|花嫁付添いの若い女性
ricotta	(ｲﾀﾘｱ語)リコッタ|cottage cheeseに似たイタリアの非熟成ホエーチーズ(ホエイ|wheyウェイ|乳清|乳漿|乳から乳脂肪分やカゼインなどを除いた溶液)
reiteration	繰り返し|反復
apse	後陣
frugality	倹約
tacky	みすぼらしい|粘る|安っぽい
bismuth	蒼鉛(そうえん)(金属元素;化学記号はBi)
digestible	消化できる
tangy	ぴりっとする
interposition	介在|介入|干渉|仲裁|挿入物
intraepithelial	上皮内の
honorably	名誉となるように|りっぱに
transsexual	性転換者|両性具有の人･動物
rerun	再現|繰り返すこと|再上映する
indent	にぎざぎざをつける|湾入する|出入りする|刻み目
musketry	小銃射撃;射撃術
banality	陳腐さ|ありふれていること
featureless	特色のない
aphrodisiac	催淫薬|媚薬
choroid	脈絡膜|眼球壁の中間層の薄い組織|強膜(眼球の外側の層)と網膜(眼球内部の後方の神経組織層)の間にある|血管が通り|眼球への酸素と栄養の運搬を行う
unrequited	報酬のない|報いられない
spangle	スパングル(特に衣服につけるぴかぴか光る小さな薄い金属やプラスチックの飾り)|ぴかぴか光る小さな物|(光る物などで)〜‘を'飾る;〜‘を'ぴかぴか光らす
magisterial	行政長官の|治安判事の|厳然とした|権威のある
neuroprotective	神経を保護する
shush	(感)しっ|静かに
cutout	切り抜き|安全器
tuber	塊茎|結節
destruct	自動的に破壊する
truffle	トリュフ|フランスしょうろの類の植物
interagency	省庁間の
