fettuccini	フェットチーネ
quaver	震える|震音|声が震える|声の震え|震え声
magnesite	マグネサイト|菱苦土鉱
stonecutter	石工|石切り工;石切り機
favouritism	=favoritism
unmentionable	口に出せない
unimpeachable	非難できない|非の打ちどころのない|申し分のない
persuasiveness	説得力
simpatico	気の合う|同じ性質の
creativeness	創造性|創造力|クリエーティビティー|独創性
malleability	(mˈæliəbl)|展性(箔に広がる性質|cf|引っ張って伸びる性質は延性ductilityという)
cheerily	元気よく|陽気に|元気で
sickbay	(通例船内の)病室
papaverine	パパベリン
alkene	アルケン|オレフィン
ziggurat	ジッグラト(古代バビロニア・アッシリアのピラミッド形の間院)
faintness	幽かさ|臆病
damselfly	イトトンボ
crazily	夢中になって
regularisation	均一化
beguile	欺く|だます
crossbill	イスカ
cnidaria	hydras; polyps; jellyfishes; sea anemones; corals|hydras|polyps|jellyfishes|sea anemones|corals
guzzle	鯨飲する|がぶがぶ飲む|がつがつ食う
kunzite	a pinkish lilac crystal form of the mineral spodumene that is used as a gemstone
mylanta	an antacid
docudrama	ドキュメントドラマ
cotoneaster	any shrub of the genus Cotoneaster: erect or creeping shrubs having richly colored autumn foliage and many small white to pinkish flowers followed by tiny red or black fruits
glogg	Scandinavian punch made of claret and aquavit with spices and raisins and orange peel and sugar
inhere	〈性質などが〉(〜に)固有のものとしてある《+『in』+『名』》
rearguard	(軍隊の)後衛|しんがり
pieris	あせび|あせび
officeholder	公務員
inextricable	(結び目などが)ほどけない|手がつけられないほどこみいった|脱出できない|抜け出せない
repechage	敗者復活戦
pamelor	ノルトリプチリン
popery	ローマカトリック教[の教義・儀式]
trustful	信じやすい|人をすぐ信用する
amort	utterly cast down
lewdness	猥褻|姦濫|卑猥|婬猥|淫猥|卑猥さ|如何わしさ|猥らさ|淫靡|邪淫
faille	ファイユ(絹・レーヨンなど柔らかくうねのある布地)
misguide	間違った方へ導く|間違って指導する
mujahedin	ムジャーヒディーン
therapeutical	治療学的|治療的
breezeway	建物間の屋根つき通路
liven	活気づく|陽気になる|活気づける|陽気にする
looter	＜loot|略奪者
transvestism	服装倒錯(同性愛者などが異性の服装をすること)
coyly	はにかんで
malinger	(特に軍務|労働などを避けるために)仮病を使う
wotan	ヴォタン
gravid	in an advanced stage of pregnancy; "was big with child"; "was great with child"|in an advanced stage of pregnancy
enantiomer	光学異性体|鏡像体
