navicular	せん状骨|舟状
gloriosa	グロリオーサ
wittily	頓知をきかせて
foolery	〈U〉愚かなふるまい|愚劣;〈C〉(個々の)ばかげた行為(考えなど)
miff	むっとすること|むかっ腹|むっとさせる
deepness	深さ|深度|深遠
ropewalk	なわ製造所
culiacan	クリアカン
habitant	住民|居住者|住居者|住人
bocci	Italian bowling played on a long narrow dirt court
bedsore	(病人の)床ずれ
spittoon	=cuspidor
downswing	ダウンスイング(ゴルフのクラブを振り降ろす動作)|(商況・出生率などの)下降|減少
limulus	type genus of the family Limulidae
episcopacy	〈U〉《文》監督(主教|司教)の職(任期)|《the~》主教(司教)団
phylloxera	type genus of the Phylloxeridae: plant lice
occiput	後頭
thunderer	an epithet for Jupiter|a noisemaker that makes a sound like thunder
andantino	(音楽の演奏の指示で)アンダンティーノ(アンダンテ(andante)よりやや速い)|アンダンティーノの楽章(楽曲)
seigniorage	charged by a government for coining bullion
wantonness	the trait of lacking restraint or control; reckless freedom from inhibition or worry; "she danced with abandon"|the trait of lacking restraint or control|reckless freedom from inhibition or worry|the quality of being lewd and lascivious
caramelise	be converted into caramel; "The sugar caramelized"|be converted into caramel|convert to caramel
bowwow	ワンワン|犬の鳴き声|《小児語》わんわん
actinomyces	放線菌
madrasah	マドラサ
grot	窟|岩屋|石屋|洞窟|洞|洞穴
eyepatch	a protective cloth covering for an injured eye
redeposit	再析|再析
earmuff	耳おおい
druidism	the system of religion and philosophy taught by the Druids and their rites and ceremonies
teasel	any of several herbs of the genus Dipsacus native to the Old World having flower heads surrounded by spiny bracts
flinty	火打ち石の;火打ち石の多い|火打ち石のように堅い;残酷な|冷酷な(cruel)
glycosaminoglycan	グリコサミノグリカン|動物の結合組織を中心に存在する軟骨の主な構造成分で|目の角膜にも見られる
branchlet	枝|小枝
fascicule	分冊
overcompensate	(〜に対して)補償し過ぎる《+『for』+『名』》
narcoleptic	ナルコレプシー
seismologist	地震学者
flatus	腸内にたまるガス
delphinus	a constellation in the northern hemisphere near Pegasus and Aquila|type genus of the Delphinidae
unbowed	(ひざ・腰が)曲がっていない|《文》屈服しない
countertransference	逆転位
yellowhammer	キアオジ(ヨーロッパ産ホオジロ属の小鳥)|北米産のキツツキの一種
ceremoniously	慇懃に|仰々しく
nutation	章動
danu	Celtic goddess who was the mother of the Tuatha De Danann; identified with the Welsh Don|Celtic goddess who was the mother of the Tuatha De Danann|identified with the Welsh Don
dominie	《おもにスコットランド》学校教師|《方言》牧師
blouson	ウエストを締め上をゆったりさせた婦人用上着
hollowness	無意味なこと
unvoiced	声に出さない|口に出さない|無声の|無声音の
hyperextension	過伸展
waffler	someone who speaks or writes in a vague and evasive manner
haematoma	血腫
tenosynovitis	inflammation of a tendon and its enveloping sheath
passado	(fencing) an attacking thrust made with one foot forward and the back leg straight and with the sword arm outstretched forward|an attacking thrust made with one foot forward and the back leg straight and with the sword arm outstretched forward
snifter	《米》ブランデーグラス(西洋ナシ形のグラス)|《俗》(酒の)少量|ほんの一口|ちょっぴり一杯《+『of』+『名』》
defoliant	落葉剤
beguine	ビギン|ルンバに似た南米のダンス|ビギンの曲
degustation	taking a small amount into the mouth to test its quality; "cooking was fine but it was the savoring that he enjoyed most"|taking a small amount into the mouth to test its quality
neostigmine	ネオスチグミン
hypophyseal	of or relating to the hypophysis
tumorigenicity	腫瘍(しゅよう)原性
astigmatic	乱視の
nephrosis	ネフローゼ症候群
tersely	簡潔
unexceptional	例外でない|通例の|例外を認めない|《混同して》
workmate	僚友
sorex	type genus of the family Soricidae: shrews
fascistic	relating to or characteristic of fascism; "fascist propaganda"|relating to or characteristic of fascism
uninsurable	not capable of being insured or not eligible to be insured
folksinger	民謡歌手|フォーク歌手
natality	出生率
maturely	熟して|円熟して|熟慮して
coloratura	コロラチューラ(声楽の装飾的高音部)|〈C〉コロラチューラソプラノ歌手
jemmy	オーバーコート|羊の頭
chemisorption	化学吸着
armful	(〜の)腕いっぱいの量《+『of』+『名』》
nervy	筋骨たくましい|神経過敏な
anticyclone	高気圧
byre	牛小屋|牛舎
nurseryman	苗畑の所有者|苗木屋
thumbscrew	つまみねじ|親指を締め上げる昔の拷問具
cardamon	カルダモン|カルダモン
jdam	a pinpoint bomb guidance device that can be strapped to a gravity bomb thus converting dumb bombs into smart bombs
inapposite	場違|不適|筋ちがい|場違い|すじ違い|場ちがい|筋違
tetherball	a game with two players who use rackets to strike a ball that is tethered to the top of a pole; the object is to wrap the string around the pole|a game with two players who use rackets to strike a ball that is tethered to the top of a pole|the object is to wrap the string around the pole
impost	税;関税|輸入税
melodically	with respect to melody; "melodically interesting themes"|with respect to melody
nucleonics	[原子]核工学
diacritic	=diacritical|=diacritical mark
philippic	痛烈な弾劾(だんがい)演説
supersaturate	〈溶液〉‘を'過飽和させる
fauvism	an art movement launched in 1905 whose work was characterized by bright and nonnatural colors and simple forms; influenced the expressionists|an art movement launched in 1905 whose work was characterized by bright and nonnatural colors and simple forms|influenced the expressionists
toadflax	common European perennial having showy yellow and orange flowers; a naturalized weed in North America|common European perennial having showy yellow and orange flowers|a naturalized weed in North America
globose	円い|丸っこい|丸い
pitocin	オキシトシン
coexpressed	共発現した
feebleness	ひ弱さ|柔弱|羸弱|虚弱|懦弱|病弱|弱さ
jnd	最小可知差異
dimenhydrinate	ジメンヒドリナート
rachis	花軸|脊椎|脊梁|バックボーン|背骨|脊柱
toyshop	おもちゃ屋
belowground	under the level of the ground; "belowground storage areas"; "underground caverns"|under the level of the ground
scrumpy	強いりんご酒
cannelloni	カネローニ(パスタの中に肉・チーズを詰めて焼いたもの)
deify	〜'を'神に祀る|〜'を'神様扱いする
documental	ドキュメンタル
perinuclear	核周囲の|核周囲性の
orchitis	睾丸炎
augury	占い|占いの儀式|きざし|前兆
eluate	溶出液
inflect	〈単語〉‘を'語形変化(活用)させる|〈声〉‘の'調を変える;〜‘に'抑揚をつける|〜‘を'曲げる|屈曲させる
rolaids	an antacid
fettucini	フェタチーネ(イタリア料理に用いる細長くした練り粉) = fettuccine =fettuccini
mayhap	ひょっとしたら|もしかしたら|或いは|若しや|けだし|もしや|もしか|蓋し|若しか|若しかして
tetracaine	テトラカイン
meatus	a natural body passageway
isordil	イソソルビド
platitude	決まり文句|陳腐|平凡
coffea	コーヒー属
jilt	恋人を捨てる女|〈特に女性が〉〈恋人・愛人〉‘を'捨てる
biopiracy	biological theft; illegal collection of indigenous plants by corporations who patent them for their own use|biological theft|illegal collection of indigenous plants by corporations who patent them for their own use
stayer	根気強い人(動物)|がん張り屋
dysprosium	ジスプロシウム(希土類元素;化学記号は『Dy』)
landlubber	海に慣れていない水夫|新米水夫
consequentially	having consequence
elision	(文法)2つの単語の間の1音が脱落すること|発音省略|意図的な割愛
metier	専門[分野]|職業|仕事
unhampered	not slowed or blocked or interfered with; "an outlet for healthy and unhampered action"; "a priest unhampered by scruple"; "the new stock market was unhampered by tradition"|not slowed or blocked or interfered with|not held in check or subject to control; "unhampered dissemination of news"; "this would give black people the opportunity to live unhampered by racism"|not held in check or subject to control
urodynamic	(医)尿力の|尿力学|尿動態
stellaria	ハコベ
