tritium	トリチウム(水素の同位元素;化学記号はT)
incubus	インキュバス|悪夢|心配事|夢魔(むま)|淫魔
brokenhearted	失意の|悲嘆にくれた;失恋の
tableware	《集合的に》卓上食器類(皿・ナイフ・フォーク・スプーンなど)
cicada	セミ(米ではlocust(本来バッタの類)とも言うが|識別できないためと思われる)
helluva	ひどい|すばらしい|とても|非常に|「hell of a ...」に由来する
blackjack	ブラックジャック
umbrage	不快
mitt	ミット|長手袋|女性用長手袋
bondsman	(主に米)保釈保証業者(裁判所･刑務所近くに事務所を持ち職業として保釈金を貸したり保証人になったりする人)
washerwoman	洗濯女
delusive	人を惑わせる|紛らわしい
gnat	(nˈæt)|ブヨ|ぶよ
poof	ホモ|男の同性愛者|なよなよした男|女々しい男|パッ|フッ|プーッ|キスする
begone	立ち去る|消えうせる
sachem	(北米インディアンの)首長
preoccupy	いっぱいにする|心を奪う|先取する
splutter	(混乱して)早口でしゃべる|〈物が〉パチパチ(ジュー)と音を立てる|(混乱して)〜‘を'早口で言う《+『out』+『名』|+『名』+『out』》|パチパチ(ジュー)という音
relegation	左遷(させん)|格下げ;委託
deflationary	通貨収縮の|デフレの
colorblind	色盲
motorcar	《おもに英》《米》『自動車』《米》automobile)
nostrum	(製造会社が自己宣伝する)妙薬|万能薬|《やや皮肉に》(解決のための)妙案|秘策
sower	種子をまく人(機械)|(うわさ・紛争などを)まき散らす人
foodstuff	食料品
puma	ピューマ
murk	真暗やみ|暗黒
pugnacious	けんか好きな|けんか早い
adipocyte	含脂肪細胞
refreshingly	さわやかに
pettiness	取るに足らないこと|つまらなさ|狭量
purgative	下剤|下剤の
encumber	妨げる|の足手まといになる|苦しめる
paymaster	ボス|会計課長|部長|給与支払係|雇用者|支払主任|主計官|親方
bubonic	(医)横痃(おうげん)|もものつけねのリンパ節が炎症を起こして腫れること|黒死病(bubonic plague)
copier	複写器|模倣者
gingham	ギンガム(棒じまなどの綿布)
contrapuntal	(作曲法で)対位法の|対位法による
manumission	奴隷(どれい)(農奴)からの解放;解放証書
haply	多分
thalidomide	サリドマイド|催眠鎮静薬として市販されたが|1960年代に服用した妊婦にサリドマイド胎芽症の新生児が生まれた薬害「サリドマイド禍」を起こした
expatiate	(〜について)詳しく話す(書く)《+『on』(『upon』)+『名』》
inflect	〈単語〉‘を'語形変化(活用)させる|〈声〉‘の'調を変える;〜‘に'抑揚をつける|〜‘を'曲げる|屈曲させる
baccalaureate	学士(bachelor)の学位
pita	ピタパン(地中海沿岸|中東|北アフリカで広く見られる食文化)
youthfulness	若々しさ|青年らしさ
mercantilism	重商主義
reticule	(昔の)小物入れ・(網製)手さげ袋; (コンピュータ)レティクル (ICの回路パターンの焼き付けられた原版)
appellee	被上訴(控訴)人
discordance	=discord1|2
undernourished	栄養不良の
plod	こつこつ働くこと|とぼとぼ歩く(こと)|ゆっくり進む|こつこつ取り組む
omnivorous	雑食性の
tarantula	タランチュラ(毒グモ)
copra	コプラ(ココヤシの胚乳を乾燥したもの)
necromancy	交霊による占い|いかがわしい魔術
witless	知恵(思慮)のない|無分別な|愚かな
cesspool	=cesspit
boxy	箱に似た|箱のような
pasteboard	ボール紙|厚紙
deadweight	〈U〉自重(車・船などのそれ自体の重さ);死重(自力で動けない物の重さ)|《a dead weight》《比喩(ひゆ)的に》重荷
penetrance	浸透度
processional	行列の
vocalize	声を出す|しゃべる|歌う|発音する|母音化する|言う
snowshoe	雪ぐつ|かんじき
sprayer	霧を吹く人|吸入器|噴霧器
intimal	血管内膜の
octet	8重唱(奏)曲;8重唱(奏)団|8個一組のもの
diaphanous	透けて見える|透明な|ほのかな|かすかな
undigested	消化されない
turgid	腫れ上がった|大げさな
smokestack	重工業の
guacamole	グアカモーレ(メキシコのアボカド料理)
gynecology	婦人科学
diluent	(液体を)薄める|希薄用の|希釈剤
alar	翼のある;翼の形をした
retractable	格納式の|引っ込められる
chiropractor	脊柱指圧(調整)療法師
chloro	chloro (異形chlor- 主に母音の前) 緑の|Chlorophyll(クロロフィル・葉緑素) 2|(化学)塩素の|塩化|クロロ|クロル
pagination	本のページ付け|丁付け|ページ数|ノンブル(ページ数を示す字)
reincarnate	(〜として)〈新しい肉体〉‘に'生まれ変わらせる《+『as』+『名』》
fie	えーい!|ちぇっ!
humorless	ユーモアのない
ascertainable	確かめられる
cloakroom	(また『checkroom|coatroom』)(ホテル・劇場などの)外とう・携帯品預り所|(また『checkroom』)(駅の)手荷物一時預り所|《米》議員控え室|《英》《遠回しに》便所
toner	インクトナー
enchantress	魔女|魅力的な女
flinty	火打ち石の;火打ち石の多い|火打ち石のように堅い;残酷な|冷酷な(cruel)
heartrending	胸も張り裂けるような|悲痛な
polymath	博識家|博学の
gawk	気のきかない人|のろま|とんま|ぼんやりと眺める
vapid	おもしろくない
afforestation	造林|植林
loftily	高々と|高尚に|高慢に
leukemic	白血病性の
cruciform	十字形の|十字架状の
churlish	粗野な|田舎ものの|けちな
torpid	(体の機能などが)鈍い|のろい|不活発な|鈍感な|冬眠状態の|冬眠中の
expressively	表情たっぷりに;意味ありげに
officiate	職務を行う|式の司祭を勤める
rotavirus	ロタウイルス|2層のタンパク質の殻に覆われた2本鎖RNAウイルス|乳児下痢症･嘔吐の原因として知られている
oscilloscope	オシロスコープ(電気の変化を曲線で観測する装置)
sufferance	黙認|容認|許容|忍耐力
unconfirmed	未確認の
oddball	変り者
emu	(emu)エミュー|ダチョウ目の鳥の一種|オーストラリアの非公式な国鳥|ダチョウに次いで背が高い|趾(あしゆび)は3本|Economic and Monetary Union|経済通貨統合(EU)
abalone	アワビ
windbreaker	防風林|風避け|(商品名)ウインドブレーカー
whizz	びゅーと飛ぶ
condor	コンドル
nonfatal	致命的でない
hodgepodge	まとまりを欠いたもの|ごた混ぜ
rocker	ロックを演奏する人|ゆする人
reveler	酒盛りする人|飲み騷ぐ人
linchpin	急所|車の輪止めピンの意から|(荷車などの)輪止めくさび(ピン)|(扇の)要
superscription	手紙などのあて名|上書き|表題|銘
ribald	下劣(野卑)な|みだら(不敬)な(ことを言う)
unenviable	あまりうらやましくない|あまり欲しくない
prepossess	《通例受動態で》〈感情・観念などが〉〈人〉‘に'先入観を抱かせる|〈人〉‘に'第一印象で好感を与える
untranslated	翻訳されていない
photosensitive	感光性の
icebreaker	砕氷船
absinthe	アブサン|ニガヨモギ風味の強いリキュール
olanzapine	オランザピン(略称OLZ)|アメリカFDA(食品医薬品局)で承認された抗精神病薬|最も多く使用されている非定型抗精神病薬のひとつ
deferment	延期|繰延べ|据え置き|徴兵猶予
compositor	合成器|植字工
cymbal	シンバル
waterworks	水道設備|上水道
tenderloin	テンダーロイン|ヒレ肉|盛り場|不法の街
starlit	星に照らされた|星あかりの
breakpoint	ブレイクポイント
gossipy	(人が)ゴシップ好きの|(会話などが)ゴシップに満ちた
consanguinity	血族|血縁
ghoulish	残忍な
endogenously	(生命科学)内生的に
pizzeria	ピッツェリア|ピザパイを売る店
libertarianism	リバタリアニズム(新自由主義などいくつか訳がある)
arroyo	アロヨ|米南西部の乾燥地帯の小川|小峡谷
limber	しなやかな|前車
amidships	船(航空機)の中央部に(で)
herder	家畜の番人|牧夫|家畜の飼い主
expat	国外居住者
prophetically	預言(予言)的に|預言(予言)して
comity	礼譲|礼節|the comity of nations|国際礼譲(各国が他国の法律･制度を尊重する親交関係にあること)
melamine	メラミン(白色の結晶でおもに合成樹脂の製造に用いる)
foxhole	1･2人用塹壕(=dugout)
awakening	目覚め
electrochemistry	電気化学
understudy	代役の俳優|〈役〉‘を'代役としてけいこする|〈別の俳優〉‘の'代役を演ずる
uncharitable	無慈悲な|情け容赦のない
varicose	静脈瘤(りゅう)の|静脈怒張の(特に足の血管が異常にふくれること)
biped	2足ある|二足動物
rafter	たるき|いかだ師|いかだ乗り|(建築)たる木|屋根のたるき
bandanna	バンダナ(大形の絞り染めハンカチ)
godforsaken	(人が)神に見放された|(土地が)荒れ果てた
voyeuristic	(vwὰːjɚ(ː)rístɪk)覗き見の|覗き見趣味の
marksmanship	射撃技量|射撃術|弓術
humpback	猫背|せむし
depute	〈人〉‘を'代理者(代表者)にする;(〜するように)〈人〉‘を'代表にする《+『名』+『to』 do》|(代理者に)〈権限・任務など〉‘を'委任する《+『名』+『to』+『名』》
equipoise	〈U〉釣り合い|均衡|〈C〉平衡おもり;対抗勢力
syndication	シンジケーション
luxuriance	繁茂|豊富
multivariable	多変量
festal	祭りの|祝いの
rambunctious	手に負えない|乱暴な|気ままな|やんちゃな|騒々しい|無軌道な|無法な|どたばたした|むちゃな
hunker	(hˈʌŋkɚ)うずくまる|しゃがむ|ブラブラ歩く|重々しく動く|前かがみになる|背を曲げる
missy	(呼びかけで)お嬢さん|娘さん
fizzle	(最初はうまくいくが)失敗に終わる|しくじる|弱く消えてしまうようにシューシューと音を出す
resinous	樹脂の・樹脂質の・ やにの多い
purser	事務長（事務だけでなく|乗客サービスも担当する乗務員）
rakish	みだらな|粋な|ハイカラな
pedantry	ペダントリー|衒学趣味(げんがく|知識をひけらかす|自慢すること)
ruination	〈U〉破滅|崩壊|荒廃;破産|〈C〉破滅(崩壊)の原因|破滅をもたらすもの
proposer	提案者|発起人|申し込み人
aspartic	アスパラギンの
demoralization	風紀を乱すること|堕落|退廃|(軍隊・軍人の)士気をくじくこと
erotica	エロティカ|性愛の文学作品
upswing	(経済)上昇|上向き
hank	(糸の)束
nosebleed	鼻血
circumvention	裏をかくこと|迂回;回避
fermenter	発酵槽
undistinguished	区別されない|平凡な
glomerulus	糸球体(しきゅうたい)は脊椎動物の腎臓内でボーマン嚢に囲まれた毛細血管の塊|腎臓循環の細動脈から血液が流れ込み|濾過する働きをする
caraway	ヒメウイキョウ(セリ科の植物;実は食用・薬用)
microsomal	ミクロソーム(microsome)の
realty	不動産
sculpt	彫刻する
pasha	パシャ(もとトルコの高官の尊称で名前の後に付けた)
bizarrely	奇妙に
devilishly	極悪に|《話》ひどく|はなはだしく
cuirass	胴よろい;よろいの胸当て
trivialize	つまらなくする|平凡化する|矮小化する
