proletarian	プロレタリアの|無産階級の|労働者階級の
sorbent	吸着剤
ncdc	the part of NOAA that maintains the world's largest active archive of weather data
scruffy	薄汚れた|汚い
playfully	ふざけて
vibrato	ビブラート|震動音
schoolyard	運動場|校庭
caddie	ゴルフのキャディー
alleyway	路地|小通路
gruff	粗暴な|どら声の|しわがれ声の|無愛想な|態度が粗野な
earmark	取っておく|目印をつける|指定する|(資金を)割り当てる
archon	アルコン(古代Athensの最高執政官)
buxom	肉付きがいい
bankcard	銀行で発行するクレジットカード
isomer	異性体(分子式が同一で性質が異なる化合物)|異性核(同じ原子番号を持つが放射特性の異なる原子核)
timidity	臆病|小心
narcolepsy	睡眠発作|ナルコレプシー
musty	かび臭い(moldy)
clapper	舌|拍子木|鳴子
thiol	チオール|水素化された硫黄を持つ有機化合物|別名メルカプタン(mercaptan)|アルコールの酸素が硫黄で置換されたもの(=チオアルコール)|チオール基(置換基)
curable	治癒できる|直せる
anatomically	解剖学的に
stumbler	つまずく人|よろめく人|よろよろ歩く人
jobber	卸し商|賃(請負で)仕事をする人|場内仲買人
brisket	ブリスケット(brisket)|主に牛の肉の前肢の内側の肩バラ肉で|ブリスケと略される|肉質はやや堅く|バラより脂肪分は少なく淡白といわれる
sleepiness	眠け
zantac	ラニチジン
oxalate	a salt or ester of oxalic acid
tyrannosaurus	ティラノサウルス|ティラノサウルス・レックス
honeydew	暑い季節に植物の城・茎にできる甘い汁(しる);(アブラムシ・ヨコバイなどの昆虫が分泌する)みつ|(糖みつで甘くした)甘露たばこ|=honeydew melon
mongrel	雑種(の犬)
bandsaw	帯鋸
transpire	明らかになる|漏れる|発散する
cartographer	製図家|地図製作者
humorist	ユーモアのある人|ひょうきん者|ユーモア作家|ユーモリスト|気紛れな人
cordillera	(大陸を走る)大山脈|大連山
terrapin	テラピン|平屋建てプレハブ住宅
easiness	心安い気分|くつろいだ気分|平易
trepidation	恐怖
squatter	不法居住者|大牧場主|うずくまる人
downbeat	指揮棒を振り下ろすこと|強拍|減退|零落|(映画など)暗い|悲観的な|のんびり(ゆったり)した
bambino	赤ん坊|幼い子|幼いキリストの像(画)
couscous	クスクス(北アフリカの蒸しだんご料理･しばしば肉･果物を添える)
stillbirth	死産;〈C〉死産児
ouguiya	ウーギャ
prewar	戦前の
lubricate	に潤滑油をさす|滑らかにする
tickler	くすぐる人(物)|《米》備忘録|《話》難問
downpour	土砂降り|土砂降りの雨|大降り
ragweed	ブタクサ(花粉は花粉熱(hay fever)の原因となることがある)
lighthearted	気楽な|快活な
rhodesian	of or relating to the former country of Rhodesia (now Zimbabwe)
memorise	覚込む|暗記|憶込む|憶える|おぼえ込む|覚えこむ|覚える|憶え込む|覚え込む|記憶
minimalism	ミニマリズム(1950年代に始まった形と色の極端な簡素化を強調した彫刻と絵画の芸術運動)
physiotherapist	物理［理学］療法士・物理[理学]療法家
boxwood	ツゲ材
lithographic	of or produced by or involved in lithography; "lithographic reproduction"|of or produced by or involved in lithography
unsalted	無塩の
fawkes	フォークス
stentor	ラッパムシ
impostor	詐欺師|ペテン師
ironstone	鉄鉱石|白色硬質陶器
salwar	a pair of light loose trousers with a tight fit around the ankles; worn by women from the Indian subcontinent (usually with a kameez)|a pair of light loose trousers with a tight fit around the ankles|worn by women from the Indian subcontinent (usually with a kameez)
parsonage	(教会のそばの)教区牧師館
jeopardise	劫かす|脅かす|脅やかす
sacral	聖礼の
mortally	致命的に
carbonic	炭素の
glisten	きらきら輝く|きらめく|きらめき
sertraline	サートラリン
unassuming	(人･態度など)でしゃばらない|気取らない|高ぶらない|謙そんな|控えめな
disillusionment	幻滅
premarital	結婚前の
wilful	=willful
twisty	曲がりくねった
figment	作り事|作り話|空想事
phonemic	音素の
chicane	詭計|詭計|欺騙|ぺてん|如何様|瞞着|いかさま|権謀術策|詭弁|ごまかし|虚偽|欺瞞|まやかす|ごまかす|いかさま|騙くらかす|食わす|欺瞞|騙かす|騙る|引っ懸ける|だます|詭計
vacuole	液胞|小胞|空胞
erudite	学識のある|学問のある|博学な|衒学的な
appreciably	認め得るほどに|かなり
exult	歓喜する|勝ち誇る|大喜びする|こおどりして喜ぶ
flagstone	敷石|板石
bitchy	うるさい女
debater	討議者|討論参加者|討論者|論客
tarn	タルン|小湖|氷食でできた盆状の湖
adaption	翻案|同化|順応|即応|演義|改作|適応
enl	an inflammatory complication of leprosy that results in painful skin lesions on the arms and legs and face
attentively	注意深く|気配りよく
spotsylvania	a village in northeastern Virginia where battles were fought during the American Civil War|a battle between the armies of Grant and Lee during the Wilderness Campaign
icecream	クリーム|アイスクリーム|アイス|ソフト
indiscriminately	無差別に|手当たり次第に
evangelize	福音を説く|伝道する|福音を伝える
fishpond	つり堀
sone	ソーン
technetium	テクネチウム(マンガン属の元素;化学記号は Tc)
meatball	ミートボール|(俗)退屈な人|まぬけ
bacteriological	細菌学の
overcharge	過充電|不当に請求する
indexation	インデクサーション
architecturally	建築学的に
immigrate	移住する
pinko	左翼がかった人|ピンク色の|酔っぱらった
transferrin	トランスフェリン
sledgehammer	力ずくの|強力な|大槌(で打つ)|圧倒的な|残酷な
trendsetter	流行仕掛け人|流行の最先端にいる人
bonkers	《英俗》気の狂った
verdant	青々とした
delimit	範囲(境界)を定める
dotty	馬鹿な
tryst	(特に恋人同士の)会合の約束|あいびき(の場所)
pseudogene	偽遺伝子
mimeo	=mimeograph
brazier	火鉢
backache	背の痛み
remarriage	再婚
microcode	ファームウエア|マイクロコード|ファームウェア|ファアームウエア
cockney	ロンドン子|ロンドン言葉|ロンドン下町なまり|ロンドン子の
interweave	織り合わせる
bilingualism	2か国語併用
nodule	小節|小起節|小さなこぶ(節)|団塊
paella	パエリャ
modeler	模型製作者
confirmatory	確認
pacesetter	=pacemaker
canard	流言|虚報|先尾翼機|(仏)カモ
trf	プロチレリン
alimentation	滋養分|養い|栄養分|滋養|栄養|養分|営養素|営養|栄養素|栄養物|給餌|滋養物供給|栄養供給|給食|フィーディング
shapely	形のよい|均整のとれた
aspartic	アスパラギンの
gaskin	lower part of a horse's thigh between the hock and the stifle
fairground	博覧会場|市のたつ場所|催事会場
degeneracy	デジェネラシー|退歩|退化|縮退度
mutagen	突然変異原|突然変異誘発物質
mullah	(イスラム教)ムッラー|師(律法学者･神学者の敬称)|先生
wheelie	ウィーリー|後輪走行|車輪付き大型ゴミ箱
overactive	活動的過ぎる|活発過ぎる
homey	家庭の(らしい)|気のおけない|くつろいだ|気楽な
ornamentation	装飾
dictatorial	尊大な|独裁的な
uncomfortably	気詰まりで|心地悪く
rabbinic	of or relating to rabbis or their teachings; "rabbinical school"|of or relating to rabbis or their teachings
aileron	補助翼
refiner	精製(精錬)業者|精製(精錬)機|みがきをかける人
amaranth	〈C〉(伝説の)不死の花|ハゲイトウ(色彩的な葉のヒユ属の植物)
zidovudine	ジドブジン
startle	をびっくりさせる|ぎょっとさせる|驚き
randomize	ランダム化する
defenseless	防備のない
jokingly	しゃれて|冗談に
icicle	つらら|氷柱
feign	のふりをする|を装う|だと見せかける
waistline	ウエストライン|腰のくびれ|腰線|胴回り
bipartite	二者が分けもつ|相互の|(a bipartite agreement相互協定)|二つから成る|二通作製の
psychosomatic	精神治療学の
scid	重症複合免疫不全
spectrograph	分光写真機
signification	意味|意義
counterattack	反撃|反撃する|逆襲
halftone	〈U〉(美術・写真などの)暗部と明部との間の階調;中間調(色)|〈C〉(写真印刷の)網版(あみはん);網版画
scorch	焦げる|の表面を焼く|を焦がす|をしおれさせる|あぶる|焼け焦げ
libertine	放蕩者|道楽者|放蕩な
pravachol	プラバスタチン
pacifism	平和主義|戦争反対|参戦拒否
immeasurable	測りえない
fluoridation	フッ化物添加[法]
colander	水切り器(わんの形の下に小さい穴がいくつもある料理用具)|こし器
testator	(法的に有効な)遺言者
distaste	嫌い|嫌悪
blockhead	ばか者|のろま|でくのぼう
resolutely	堅く決心して|断固として|堅く心に決めて
germane	と密接な関係がある|に適切な|妥当な|密接な関係がある|適切な|近親の
hypertrophic	肥大
silkworm	カイコ|蚕
culpability	非難に価すること;有罪
despotism	専制政治|独裁制
fragmentary	断片的な|破片の|切れ切れ|半端の
omniscient	博識の|賢い|全 知の
gladness	喜ばしさ|うれしさ
frisky	はね回る|元気に飛び回る
bogle	幽霊|おばけ|こわいもの|かかし
siddhartha	ゴータマブッダ|シッダルタ|ブッダ|ゴータマ|仏陀|釈迦牟尼
birdbath	(庭などに設けた)小鳥の水浴び盤
invertible	having an additive or multiplicative inverse
inimitable	まねのできない|独特の|無比の|無類の
ineffectual	効果のない
armorial	紋章の
poppa	おじさま|おじさん|おとうさん|とうさん|とうちゃん|パパ
thickly	濃く|厚く|太く|密に|密集して|濃密に
selflessness	利他主義|無私|他愛|利他|愛他主義|無私無欲|無私|滅私
eponymous	名前の起源となった主人公の
fibrin	フィブリン|繊維素(線維素)|血液凝固に関わるタンパク質
phaeton	フェートン(昔の2頭立て四輪馬車)
fecundity	肥沃|多産|生産力|生産性|生殖能力
hijacker	乗っ取り犯人
quaternion	四分子|四物|四つ物|フォー|フォア|四つ
dysentery	赤痢
enchanter	魔法使い|魅力的な人
illegality	不法|違法|非合法|不法行為
debenture	債券
gaga	ホモ|ホモの前戯|いかれた|熱狂した|変わった|のぼせ上がった|夢中になって|恍惚の
defoe	デフォー
barstool	固くて座席が丸い酒場の腰掛
lysozyme	リゾチーム|真正細菌の細胞壁を構成する多糖類を加水分解する酵素
alphanumerical	of or pertaining to alphanumeric characters
antihistamine	抗ヒスタミン剤
unexcused	not excused; "too many unexcused absences"|not excused
proffer	申し出|申出る|を差し出す|を提供する|を進んで申し出る
allegorical	＜allegory|寓話の
shoji	明かり障子|紙障子|明障子|障子|明り障子
beatnik	ビート族の若者|ビート族の人|服装や行動が突飛な人
anastomosis	(血管・神経の)吻合(ふんごう)|接合|(葉脈の)網状連絡
monotony	単調|退屈
allogeneic	denoting or relating to cells or tissues from individuals belonging to the same species but genetically dissimilar (and hence immunologically incompatible)
ribavirin	an inhaled antiviral agent (trade name Virazole) that may be used to treat serious virus infections
steamroller	蒸気ローラー
wellhead	泉|水源|(物事の)源
pontificate	司教の職･位･任期|もったいぶって話す|尊大にふるまう
miniscule	非常に小さい|minuscule
unabated	衰えない|弱らない
reenactment	再現
inundation	〈U〉〈C〉氾濫(はんらん)・洪水・浸水・ 充満・(人・物の)殺到《+『of』+『名』》
backstory	裏話
philosophic	哲学の|賢明な
bhakti	バクッティー
baraka	バラカ
protectionist	保護貿易論者|保護貿易主義(的)の
aldosterone	アルドステロン
fluorite	ほたる石
rudeness	無礼
digression	余談|脱線
electrocardiogram	心電図(ECG)
submerge	水中に入れる|浸す|を沈める|を覆い隠す|(潜水艦が)潜水する|隠れる|埋もれる
commie	共産党員
stepchild	継子|連れ子|のけ者
musky	じゃこうの香る|じゃこう(質)の
snead	スニード
intercellular	細胞間の
bootie	毛糸編みの小児用靴(ソックス)|くるぶしまでの短い長靴
flashcard	フラッシュカード(生徒の反応速度を増すために語学・算数などの授業に用いる単語・数字・絵などのカード)
shimmy	シミーを踊る|シミー(1920年代に流行したジャズダンス)
arthritic	関節炎患者|関節炎の
streptococcal	連鎖球菌の(による)
snarky	不機嫌な
slew	たくさん|どっさり|殺した|沼地
undiagnosed	診断未確定
wintry	冬の|冬らしい|冷淡な|年とった
viewing	鑑賞
probiotic	a beneficial bacterium found in the intestinal tract of healthy mammals; often considered to be a plant|a beneficial bacterium found in the intestinal tract of healthy mammals|often considered to be a plant
wintertime	冬|冬期
wickedly	意地悪く|不正に
digraph	(文法)連字|二字で一音を表すもの
fess	フェス(盾の中央の横帯)
tical	バーツ
bung	栓|栓をする|うそ|一撃|醸造者|パブの主人|盲腸|肛門
ultrastructural	超微細構造
anemic	無気力の
maxillary	上顎骨|上顎
presuppose	～することを前提とする|仮定する
reconfirm	confirm again; "You must reconfirm your flight reservations"|confirm again
vindicate	の嫌疑を晴らす|(行動･主張など)の正当さを立証する
smallmouth	a variety of black bass; the angle of the jaw falls below the eye|a variety of black bass|the angle of the jaw falls below the eye
patronize	を保護･奨励する|をひいきにする|取り引きする
landless	owning no land; "the landless peasantry"|owning no land
banzai	いやさか
duodenum	十二指腸
vardenafil	virility drug (trade name Levitra) used to treat erectile dysfunction in men
percussive	打楽器|打診|衝撃の|震動の|打奏的な
magnificently	壮大に|堂々と|素晴らしく
neigh	馬がいななく|ヒヒーン(馬の鳴き声)
unpunished	処罰を受けていない
familiarise	make familiar or conversant with; "you should acquaint yourself with your new computer"; "We familiarized ourselves with the new surroundings"|make familiar or conversant with
ophthalmologist	眼科医
apostasy	背教(行為)|背信|脱党
balaclava	目出し帽
biplane	複葉機
vitriol	硫酸|辛らつな言葉
vicarage	〈C〉vicar の住宅|牧師館|〈U〉vicar の職
vestry	(またsacristy)(教会の)祭服室|祭具室|教会付属室(祈祷集会や日曜学校などに用いる)|(英国国教会などの)教区総社|教区委員会
overbear	(重さや･力で)抑えつける|抑える|くつがえす|威圧する|重要性(説得力で)勝る
suboptimal	次善の
cornmeal	ひき割りとうもろこし
gleefully	大喜びで|愉快に
febrile	熱病の|熱からおこる
casuarina	any of various trees and shrubs of the genus Casuarina having jointed stems and whorls of scalelike leaves; some yield heavy hardwood|any of various trees and shrubs of the genus Casuarina having jointed stems and whorls of scalelike leaves|some yield heavy hardwood
fosse	堀|溝|運河
striatum	線条体
ilex	ウバメガシ(常緑のカシの一つ)|西洋ヒイラギ
granuloma	肉芽腫
bilinear	linear with respect to each of two variables or positions
berra	ベラ
resplendent	光り輝く|輝く|まばゆい
whee	ワーッ(という叫び声)|興奮させる|大喜びさせる|おしっこ
subsidise	代納|代納|補助金を支給する|助成金を支給する|奨励金を支給する
lignite	亜炭|褐炭
psychedelia	the subculture of users of psychedelic drugs
thicken	を厚くする|太くする|を濃くする|太くなる|複雑になる
ringside	かぶりつき|リングサイド|近くから見える場所|最前列の席|リングサイドの
halon	ハロン
artfully	巧妙に
repayable	払い戻せる|恩返しできる
smuggle	を密輸する|をこっそり持ち込む･持ち出す|密航する
airhead	変人
silviculture	the branch of forestry dealing with the development and care of forests
pater	主の祈り|主祷文
trivet	(鉄製の)三脚ごとく|(食卓用の)小型金属台(熱いものなどをのせる|短い脚がついている)
marinara	sauce for pasta; contains tomatoes and garlic and herbs|sauce for pasta|contains tomatoes and garlic and herbs
calliope	〈C〉カリオペー(1組の汽笛から成る楽器;サーカスでよく使われる)|《C-》カリオペ(ギリシア神話のMuseの一人で雄弁・英雄詩をつかさどる神)
outcall	make a higher bid than (the previous bid or player); in a card game|make a higher bid than (the previous bid or player)|in a card game
windjammer	(大きな)帆船|帆船の水夫|《英》=windbreaker
mutagenic	変異原性
formalin	ホルマリン
futurity	〈U〉未来|〈C〉《しばしば複数形で》未来のでき事
fruitcake	フルーツケーキ
buhl	ブール細工家具(表面に金属・貝・べっ甲などをはめ込んだテーブル・食器だななど)
pacify	戦乱を収める|平和にする|を制圧する|をなだめる|を静める
reamer	リーマー|穴ぐり工具(金属にあけた穴を大きくしたり仕上げたりする工具)|果汁しぼり器
lavage	(胃などの)洗浄
lopsided	不均衡な|偏った
flipper	水かき
ironclad	装甲艦
quicksand	流砂
tiptoe	爪先|つま先|つま先で歩く
wpm	words per minute 1分間当たりのタイプ打字数
chlorella	クロレラ(緑藻(りょくそう)類の一種で食料として栄養価が高い)
tarpaulin	(タールなどを塗った)厚い防水布|防水シート
overpower	征服する|圧倒する
laud	(大げさに)賞賛(する)|称賛(する)
offal	くず|廃物|ごみ|がらくた
rebus	判じ物(絵)
institutionalize	(慣習などを)制度化する|(精神病者･非行少年)施設に収容する
stipe	茎|子房柄|(葉)柄
axonal	(神経の)軸索の|軸索に関する|軸索に似た
naphtha	ナフサ|粗製ガソリン
travertine	温泉沈殿物(石灰華の一種：イタリアで建築材に用いる)
wormwood	ニガヨモギ|苦悩(の種)
railcar	レイルカー|気動車(ディーゼルあるいは電気で単独でも動かせる鉄道各車)
dasher	突進する人(物)|撹拌(かくはん)器
slipcover	とりはずしできる家具カバー
brainstem	延髄と橋|中脳と間脳を合わせて脳幹と呼ぶ|脳幹･(間脳)･小脳･大脳を合わせて脳と呼ぶ
cockle	(鳥貝|赤貝|ムール貝などザルガイ科の二枚貝)|その殻|小舟|(紙･皮の)しわ|しわを寄せる|小さな暖炉|ストーブ
pineal	松果腺[体]の・松傘状の
poliovirus	ポリオウイルス
luger	ルーガー
glycerine	グリセリン|グリスリン|リスリン|グリセロール
nationalistic	国家の|国家主義の|民族主義的な
jailer	看守
steinway	スタインウェイ
bricklayer	れんが積み職人
cimetidine	シメチジン
billfold	札入れ
foamy	泡だらけの|泡の|泡沫の|泡立つ
roadkill	the dead body of an animal that has been killed on a road by a vehicle; "vultures usually feed on carrion or roadkill"|the dead body of an animal that has been killed on a road by a vehicle
ringworm	輪癬(りんせん)(たむしの類)
reprogram	再プログラム(する)
unwell	(特に短い時間)体の具合が悪い|気分がすぐりない|月経中である
isothermal	一定温度で起こる|等温の
unconscionable	非良心的な|法外の|途方もない
joyride	車をブッ飛ばすこと
lurid	けばけばしい|ぞっとする
annunciation	布告|受胎告知
demotion	降格
octavo	八つ折り判(全紙を八つ(16ページ)に折った大きさ)|八つ折り判の本
undemocratic	非民主的な
lunt	ラント
futurism	(芸術の)未来派
brougham	ブルーム型馬車(一頭立四輪箱馬車)|ブルーム型自動車(運転台が外にある旧式のもの)|ブロアム(自動車の高級モデル)
gunship	武装ヘリコプター
redfish	メヌケ
winding	蜿々たる|蜒々たる|蜿蜒たる|蜿蜿たる|蜒蜒たる|ジグザグ|羊腸たる|蜿々たる|蜒々たる|蜿蜒たる|蜿蜿たる|蜒蜒たる|曲がりくねった
cubism	立体派|キュービズム(20世紀の初めにフランスでPicassoの一派)
sarcoidosis	サルコイドーシス|類肉腫症
maim	(人を)不具にする|不具になる|損なう
dowland	ダウランド
immunoreactivity	免疫反応性
viatical	pertaining to the purchase of insurance policies from terminally ill policy holders; "viatical business"; "viatical companies"; "National Viatical Association"|pertaining to the purchase of insurance policies from terminally ill policy holders
dimaggio	ディマジオ
flail	殻竿(で打つ)|からざお
misappropriation	着服|横領
resound	音で満ちる|反響する|こだまする|鳴り響く|鳴り続く|轟く|響きわたる
scrubber	床の掃除人|ごしごし洗う剛毛ブラシ|スクラッバー|集塵器|洗浄器|ガス洗浄装置|洗浄工
arendt	アーレント
breastfeed	母乳で育てる
synchronise	同期|同期|同期化|同調|シンクロナイズ|シンクロさせる|同期させる
subservient	卑屈な|役立つ
narc	麻薬取締官
stuffer	a craftsman who stuffs and mounts the skins of animals for display|an advertising circular that is enclosed with other material and (usually) sent by mail
scepter	王笏|しゃく|王権
lyrically	叙情
stubbornly	強情に|頑固に|断固として
excrement	糞|排泄物(=stool)
stoplight	停止信号|(車の)ブレーキランプ
clink	カチン|かちんという音|コップがぶつかる音
disobedient	服従しない
redwing	ヨーロッパ産のツグミの一種;羽がところどころ赤い
lilliput	小人国
relatedness	関連性
legionella	レジオネラ
transferability	移動できること;転写できること;譲渡しうること
whiny	泣き言を言う
uninitiated	初心者
desertion	遺棄|脱走|荒廃|捨て去ること|放棄
briskly	きびきびと|活発に
humoral	(医)体液性|液性
visualizer	one whose prevailing mental imagery is visual
disequilibrium	不均衡
