the	その
design	デザイン|計画する|の下絵を描く|図案|下絵|設計図|模様|ひな型
include	含む|含める
great	すばらしい|重大な|(数量が)大きな
copyright	著作権|版権
area	地域|エリア|面積
such	そのような|このように|そんなに
call	呼ぶ|電話をする|を呼ぶ|召集する|呼び集める|通話
available	利用できる|有効な|役に立つ|入手できる|可能な|人が会議や電話に出られる
write	書く
mail	郵便(物)|郵送する|鎖かたびら|うろこ
well	よく|うまく|上手に|じゅうぶんに|おや|さて
car	自動車|車
after	～した後に[で]
send	送る
software	ソフトウエア|利用法
then	それから|その次に|そのとき|それなら|そうすれば
line	ライン|行|列|(折れ線グラフa line graph)
way	道|方法
plan	計画|を計画する|計画する
man	男|男性|男の人
want	を望む|を欲しい|必要|不足
come	来る|(イメージ:到達点に焦点:ある対象に近づいていく･くる)
where	どこに|どこで|どこへ|どこ
type	型|タイプ|をタイプする
book	本
power	力|有力な人|(機械などに)動力を供給する
sale	販売|売上高|需要|特売
info	information
think	思う|考える
public	公共の|公開の|公営の|一般の|国民|～社会|世間|公共事業|(反)private
through	〜を通って
each	それぞれの|めいめいの|各自
download	ダウンロード
computer	コンピュータ
she	彼女は|彼女が
project	計画(する)|事業|を考案する|を投げ出す|を投影する
center	センター|中心に集まる
very	非常に|たいへん|とても
network	ネットワーク|放送網
live	暮らす|暮らしている|住む|住んでいる|生きる
article	記事|論文|論説|品物|一品|契約|条項|(文法)冠詞
privacy	プライバシー|人目を避けること|隠居|自由|秘密
start	始める
end	終わり|終わる|を終える
university	総合大学|大学の|全大学生
image	イメ―ジ|心象|肖像|彫像|象徴|を想像する|を生き生きと描く
learn	を学ぶ
phone	電話|電話をかける|telephone
case	ケース|場合|真相|病状|事件|訴訟|裁判|(俗)強盗が下見する|トイレ|(文法)格
sex	性の|性的な|男女の|性別|(集合的)男性|女性
house	家
sign	しるし|兆候|標識|記号|身振り|署名をする
art	芸術|美術|技能
return	帰る|戻る|を返す
many	多くの
research	調査する|研究|探求|調査|捜索|研究する
place	場所|余地|を置く
