redden	赤くする
splay	外側へ広がった(開いた)|ぶざまな|ぶかっこうな|斜面|隅切り(窓や扉の両側面の壁が傾斜した部分)|〜‘を'広げる|伸ばす|〜‘を'斜めにする;〈窓や扉[の壁面]〉に斜角をつける
airily	軽やかに;快活に|浮き浮きして
turnkey	(刑務所の)看守|牢(ロウ)番
vegetarianism	菜食主義
deponent	(法廷における)宣誓証人
divalent	二価|二価の
scintillation	シンチレーション|きらめき|ひらめき|火花|閃光
fondle	かわいがる|愛撫する
filmy	(カーテン・氷など)非常に薄い|薄い膜のような|(湯気などで)うっすらとおおわれた
soothsayer	占い師|予言者
subpopulation	(科学･機械工学用語他)部分母集団|分集団
sunbeam	太陽光線
fluorescein	フルオレセイン|顕微鏡観察に用いられる蛍光色素の一種|他に色素レーザーの媒体|法医学における血痕の探索|色素追跡用などに広く利用される
sidearm	横手投げの|横手投げで|携帯武器(腰につけるピストル・剣など)
anemic	無気力の
memorably	印象的な
clamorous	騒々しい|喧騒
thankless	感謝されない|感謝の気持ちを表わさない|報いられない|忘恩的な|恩知らずの
barcode	バーコード
luckless	不幸な|不運な
snapper	鯛|フエダイ類
lithosphere	地殻
flagon	(食卓用または聖餐(せいさん)式用)細口びん|大型のぶどう酒びん
adiposity	肥満
mineralogy	鉱物学
busyness	多忙|忙しくすること|忙しさ
zona	ゾーン|地帯
caw	かあかあと鳴く|カーカー|カラスの鳴き声
rationalistic	合理主義的な|理性主義的な
ruthenium	ルテニウム(金属元素;化学記号は『Ru』)
pooh	ばかな! フン|くまのプーさん
erosive	浸食性の
mastiff	マスチフ(大型犬の犬種名」」)
bumblebee	マルハナバチ
simulacrum	幻影|面影|像|似姿|にせ物
plastid	プラスチド(色素体)|植物や藻類に見られ|光合成等の同化作用|糖や脂肪などの貯蔵|様々な化合物の合成などを担う細胞小器官の総称|葉緑体が代表的
meteorologist	気象学者
seafront	シーフロント|海に面した側|海岸通り|海岸遊歩道
cud	食い戻し|反芻動物が胃から戻して噛む食物
agitator	扇動者|かきまぜ機
frat	男子生徒|男子学生の社交クラブ(fraternityに由来)
apologetics	(キリスト教を弁護する神学上の)護教論|弁証論|擁護論(術|学)
stably	しっかりと|安定して
cleaver	包丁|肉切り包丁
splenomegaly	巨脾症|脾腫(ひしゅ)
boathouse	艇庫;ボート小屋
diffident	内気な|自信がない|遠慮がちな|おずおずした
lacrosse	ラクロッス|ラクロス(ホッケーに似た球技)
sclera	鞏膜(きょうまく)(角膜とともに眼球をおおっている堅くて白い膜)
aminotransferase	アミノトランスフェラーゼ|アミノ基転移を引き起こす酵素(アミノ基をアミノ酸から他の化合物に変える)
perfuse	(医)灌流する(臓器や組織に液体を流すこと)|灌流適用する
conjectural	憶測上の
oxidizer	オキシダイザー(ロケット燃料を爆焼させる酸素を生み出す物質)|酸化剤
inoculate	(人･動物にワクチンなどを)接種する|予防接種をする
bowstring	弓のつる
gravitas	きまじめさ|実直さ
antisense	(生化学)アンチセンス|「遺伝子配列に相補的で機能を失わせるような」の意
subcutaneously	皮下に
prognostication	予言|予測|前兆
putatively	推定上|一般に考えられられているところでは
infest	〈害虫・盗賊などが〉‘に'横行する|はびこる
gamete	(生物)配偶子|生殖体(高等動物の卵と精子の総称)
transiently	一時的に
codeine	コデイン(鎮痛・催眠剤)
landfall	陸地接近|地滑り|山崩れ|圧勝
uppercase	大文字
burthen	=burden
diplomatist	外交的手腕のある人|《まれ》=diplomat
portage	運搬|運賃|連水陸送(陸路)
deliverable	配送品|配達可能な|到達可能な
glutinous	粘着性の
truncate	先端を切取る|切り捨てる
manicure	マニキュア|にマニキュアをする|(芝生を)刈り込む
bicker	言い争う|口論(する)
prohibitively	法外に
pumice	軽石|〜‘を'軽石で磨く
swathe	包帯
imperturbable	動じない|冷静な
remorseless	無慈悲な
underbelly	(動物の)下腹部(動物の最も柔らかい部分)|弱点|急所|泣き所
hooligan	ごろつき|悪党|不良|よた者|与太者
baba	ラム酒入りケーキ
vinaigrette	ビネグレットソース(酢･油･コショウ･香料などで調味したサラダ用のソース)|気付け薬入れ
weakling	弱虫の|虚弱者|弱虫|弱い
splurge	誇示する|収入以上の金を使う|贅沢にふける|散財する|大きな顔をしている|のけぞり返っている|贅沢三昧をする
scallop	ほたて貝
glutamic	グルタミン酸の|グルタミン(glutamine)はアミノ酸の一種
unfamiliarity	精通していないこと
persecutor	迫害する者
squeamish	ショックを受ける|気難しい|すぐに吐き気を催す
topless	上部のない|非常に高い
bullish	雄牛のような|頑固な|(株式市場)楽観的な|強気筋の
gastronomic	美食(法)の|料理法の
inlay	はめ込む
beachfront	ビーチフロント|浜辺沿いの
salami	サラミソーセージ
gainful	有利な
phospholipase	リン脂質を脂肪酸とその他の親油性物質に加水分解する酵素
denigration	侮蔑|名誉毀損|汚すこと
racer	競走者|レーサー|競走用自転車|競走馬
minimalism	ミニマリズム(1950年代に始まった形と色の極端な簡素化を強調した彫刻と絵画の芸術運動)
patronize	を保護･奨励する|をひいきにする|取り引きする
serotype	血清型
snigger	くすくす笑う|忍び笑い
benefaction	〈U〉慈善|寄進|寄金|〈C〉寄付金[額]
inconsistently	一貫性なく
kilter	好調
nonce	当面の目的|目下|当座|その場限りの|臨時の|性的異常者|強姦犯人|卑劣な奴|ばかげたこと
turbo	turbochargerターボチャージャー|内燃機関の熱効率を高めるために利用される過給機の一方式
mishandle	の取り扱いを誤る|へたにいじくる|まずく処理する|虐待する|手荒く取り扱う
farcical	茶番めいた|笑わせる|無益な
banshee	家族に死人のでることを泣いて予告する女の幽霊
troth	忠実|誠実|真実
speculator	投機師|思索家|投機家
antiquary	=antiquarian
pistachio	ピスタシオノキ|ピスタシオ(ナッツ)
bemoan	を悲しむ|嘆く
cosh	(武器として用いる金属・石などを詰めた)こん棒
feminization	女性化
conviviality	陽気さ|酒宴好き;お祭り気分
mutational	突然変異(性)の
reprogram	再プログラム(する)
unabashedly	恥ずかしがらずに
unfilled	満たされていない
marshland	湿地帯|沼沢地|沼沢地帯
germanium	ゲルマニウム(希金属元素;化学記号はGe)
nuzzle	愛撫する|鼻で掘る|鼻を押しつける|すり寄る|気持ちよく横になる
quietude	静けさ|平穏|落ち着き
frighteningly	驚くほど恐ろしい
naphthalene	ナフタレン(ナフタリン)|多環芳香族炭化水素|無色で昇華性を持つ白色結晶|防虫剤として利用される
tiredly	疲れて;飽きて
phosphorescent	リン光性の;青光りする
histocompatibility	組織適合性
outpace	しのぐ
dauntless	びくともしない
indulgently	甘く|気ままにさせる|優しく|寛大に
collation	〈U〉(本・原稿などの)照合|〈C〉《文》軽食
douche	(仏語)灌水(かんすい)|注水器
docility	扱いやすいこと|従順
trier	tryする人|いつも最善を尽くす人|サンプル抽出器|検査員|試験装置|陪審員忌避審判官
irrationally	非合理的に
cn	cn|中華人民共和国の国別コードトップレベルドメイン
wonderland	不思議の国
regrettably	遺憾ながら
baboon	ヒヒ|ひひ
biracial	(特に白人と黒人の)二人種の|二民族から成る
lightheaded	(酒で)頭がくらくらする|気の変わりやすい|軽率な
ague	マラリア熱|おこり|寒け|悪寒
archdeacon	(英国国教の)副監督
handcraft	=handicraft|〜‘を'手仕事で作る
repressor	抑制物質|抑制因子|阻止物質|リプレッサー|抑制遺伝子
granddad	祖父
funereal	葬式の|しめやかな|悲しい|陰うつな
nana	おばあちゃん|(=nan|nana|nanny|granny|grandma|granma|gran)
shipboard	舷側|船側|船上での
stickiness	粘ること
expiate	〈罪など〉‘を'償う
enfeeble	〈体・気力など〉‘を'弱める|弱らせる
amok	荒れ狂った|殺気立った|怒り狂った
microeconomic	ミクロ経済学の
unworkable	実行不可能な
shamanism	シャーマニズム|黄教(シベリア北部の遊牧人などの原始宗教)
phial	=vial
monosyllabic	(単語の音節が)単音節の|単音節語の
bareheaded	帽子をかぶらない|無帽の|(敬意を表して)脱帽して|帽子をかぶらないで
interphase	細胞分裂間期|間期|中間期|静止期|相関
dross	かなくず|(溶けた金属の)不純物|無価値なもの
yip	キャンキャン吠える|大きな声で不満を言う
udder	(牛|山羊などの)乳房
hepatocyte	肝細胞
recherche	(食事･言葉など)趣向を凝らした|凝った
potentiation	相乗作用
ogle	女性に色目を使う|例He was not in the habit of ogling women
cannabinoid	カンナビノイド|大麻に含まれる化学物質の総称|(窒素を含まず|酸素と水素|炭素からなるので|アルカロイド(Alkaloid)には含まれない)
retinoblastoma	網膜芽細胞腫
leapfrog	馬跳び(をする)
ombudsman	オンブズマン|(スカンジナビヤ諸国･英国･ニュウジーランドなどで)政府･国家機関･国家公務員などに対する一般市民の苦情を処理する立法府任命の委員
disrobe	衣服を脱ぐ
vixen	雌キツネ|口やかましい女|意地悪女|がみがみ女
koala	コアラ
quatrain	(詩を構成する)四行連[句];四行詩
superfluity	〈U〉〈C〉(〜が)多すぎること|余分|過剰《+of+名》|〈C〉《おもに複数形で》余分なもの|必要以上のもの;ぜいたく品
emporium	中央市場|大商店
unseeing	目で見ていない|気づいていない
trampoline	トランポリン
hothouse	温室栽培の
conscript	徴集兵|新兵
laudanum	ローダナム|阿片チンキ(opium tincture)|アヘン末のエタノール浸出液|アヘンのアルカロイド(特にモルヒネ)を含み|歴史的に様々な病気治療|鎮痛|咳止め|今も下痢の治療に使われる
chainsaw	チェーンソー
cellophane	セロファン(cellophane)はパルプから作ったセルロースを加工して作る透明な膜状の物質
classicist	古典学者|古典語教育主張者|古典主義者|古典文学者
surfboard	波乗り板
ineptitude	不適当|愚かさ
malarial	マラリアの
disgorge	吐き出す
unaccountably	どういうわけか
boarder	下宿人
tacrolimus	タクロリムス|免疫抑制剤の一種|臓器移植や骨髄移植を行った患者の拒絶反応を抑制する|アトピー性皮膚炎に対する塗布剤でもある
joystick	マリファナ|タバコ|麻薬を吸うパイプ|(テレビゲーム用の)ジョイスティック
unappealing	魅力のない
preternatural	異常な
refinance	借り換える
assignation	あいびきの約束|指定|割当て
defecate	排便する|澄む|不純物がなくなる|排出する|精製する
pageantry	壮観
campaigner	運動員
harry	くり返し攻撃する|悩ます
costal	肋(ろっ)骨の近くにある|肋骨を含む|わき腹の
bramble	イバラ(植物)
decarboxylase	デカルボキシラーゼ|脱炭酸酵素(Carboxy-lyases)|アミノ酸|α及びβケト酸等の有機化合物の脱炭酸を触媒する
polyphenol	ポリフェノール(分子内に複数のフェノール性ヒドロキシ基を持つ植物成分の総称)|植物細胞の生成･活性化などを助ける
undeterred	引き止められていない|阻止されていない
inkjet	インクジェット
declination	傾き|衰退|辞退|赤緯|(物理)磁気偏差
oblation	《しばしば複数形で》《文》(神への)奉納物|供物;(聖体祭儀の)パンとぶどう酒
protoplasm	原形質
sot	大酒飲み|のんだくれ
antonym	反意語|反義語
aquiline	ワシの|ワシのくちばしのような
seducer	誘惑者;女たらし
exult	歓喜する|勝ち誇る|大喜びする|こおどりして喜ぶ
verbose	多弁な|おしゃべりな|くどい
allelic	対立遺伝子の|対立形質の|対立遺伝子の
wholesaler	卸売業者|卸し売りで|卸し売りの
behaviorism	行動主義
exactitude	几帳面|厳正|厳密さ|正確さ|精密さ|精密度
tarragon	タラゴン;タラゴンの葉(芳香がありサラダなどの香味料として用いられる)
protuberance	隆起
procreate	繁殖する|産む|生ずる
dryer	乾燥機|乾いた
strongman	実力者|独裁者|有力者
dearie	deary|かわいい人|(ねえ)あなた|darling|dear
vaporize	揮発する|気化する|気化させる|蒸気化する|蒸発する|させる|蒸発気化する|蒸発させる
appetizing	食欲をさそう
mycobacterial	マイコバクテリアの
starship	宇宙船
spreader	バターナイフ|散布機
barstool	固くて座席が丸い酒場の腰掛
provable	証明できる
irascible	怒りっぽい|かんしゃく持ちの|短気な|怒った|(人･性質など)おこりっぽい
retrovirus	レトロウイルス|RNAウイルス類の中で逆転写酵素を持つ種類の総称|レトロウイルス科とも呼ばれる
manhole	マンホール|集合場所|肛門
silencer	消音器
sociopath	社会病質者
biogeography	生物地理学(生物分布の研究)
nightdress	=nightgown
gob	汚い塊|(ねばねばした)かたまり
hedgerow	低木の列
chaperon	付添い|行儀作法の監督を任された人
ala	悲しいかな|(鳥･コウモリ･昆虫の)翼
glittery	キラキラ輝く
perfidious	不誠実な|裏切りの|背信の
miniaturize	縮小化する|小型化する
ultrastructural	超微細構造
enteritis	腸炎
linseed	亜麻仁(あまに)(アマ(flax)の種子)
etching	銅版画
switchboard	代表電話番号|配電盤|交換台
intricacy	複雑
misogynist	女嫌いの人
importunity	しつこさ;《複数形で》しつこい要求(嘆願)
locksmith	錠前屋|錠前を修理する人
humorist	ユーモアのある人|ひょうきん者|ユーモア作家|ユーモリスト|気紛れな人
piquant	ぴりっとする
probationary	試用(見習い)期間の|執行猶予の|《米》仮及第の|仮進級の
grist	製粉用の穀物
gunboat	小型砲艦|砲艦|(俗)大きな靴
mealtime	食事時間
glumly	むっつりして
protestant	新教徒|新教徒の
instar	(昆虫などの)齢|脱皮期の昆虫や他の節足動物|(an insect or other arthropod between molts)
barista	エスプレッソ職人|バリスタ 
mull	熟考する|検討する|香料を加えて温める|岬|consider
forefoot	(四足動物の)前足
deconvolution	逆重畳積分|デコンボリューション|たたみ込み(convolution)からもとの関数を求めること|(たたみ込みは画像処理を実行するときに最も頻繁に用いられる計算のひとつ)
crier	クライヤー|叫ぶ人|泣き虫|廷吏|廷丁
flighty	軽はずみな|気まぐれな
yah	Yes|やあ-い
brainless	頭の悪い|脳のない
underpay	〈労働者など〉‘に'賃金を十分に支払わない|不当に安い給料を払う
telephony	電話通信;電話法(術)
neuritis	神経炎
redoubtable	恐るべき|あなどりがたい
couscous	クスクス(北アフリカの蒸しだんご料理･しばしば肉･果物を添える)
barrenness	実を結ばないこと;不妊;(土地の)不毛
accountancy	会計|会計学|会計職
uninhabitable	住居に適さない|住めない
armada	〈C〉《集合的に》艦隊|軍用飛行隊|《the A-》スペインの無敵艦隊(16世紀の海を制圧していたが1588年英国海軍に破れた)
outfield	(野球)外野
shootout	銃撃戦
deathless	不死の|不滅の(immortal)
incrimination	罪を負わせること(負わされること)有罪にすること|(されること)
shrilly	金切り声で|甲高く
glower	にらむ|苦い顔をする|(His glower made me shiver|彼ににらみつけられて私はぞっとした)
toughen	頑健になる|強くなる|堅くなる|粘り強くする|頑固にする|強健にする|困難にする
fallibility	誤りやすさ
foretaste	当て込み|予測|予想|前触れ|予知|(将来の苦楽を)前もって味わうこと|予期
melanogaster	キイロショウジョウバエ
miniseries	連続ドラマ
naphtha	ナフサ|粗製ガソリン
propagandist	宣伝者|伝道者|布教者|宣伝の|伝道の
flatulence	ガスで腹の張った
bridgehead	橋頭堡(きょうとうほ)(味方の渡河を援護する陣地)
sleeplessness	不眠症
dimorphism	二形性(同種の生物が異形態をもつこと)
polyacrylamide	ポリアクリルアミド|水溶性合成樹脂の一種として原油の回収助剤|廃水処理用凝集剤|洗濯糊|接着剤(合成糊)|塗料などに広く用いられる
parallax	パララックス|視差
unobtrusively	控え目に|人目につかず|そっと
northerner	北部地方の人|北国の人|北部の人
titanic	巨大な|大力無双の|《Titanic》タイタン(Titan)の
parturition	分娩(ぶんべん)|出産
newsstand	新聞雑誌売場
allspice	オールスパイス(熱帯アメリカ産の低木;その実から香辛料をとる)
misfire	不発
reportable	報告義務のある
maniacal	熱狂的な|狂気のような|狂人の|狂気の
seropositive	血清反応陽性の
czar	帝政ロシアの皇帝|専制君主;独裁者
colossus	巨像|巨大な物|巨人
oversimplify	あまりにも簡単に扱う|単純にとらえ過ぎる|単純化し過ぎる
echocardiogram	心エコー図
embarkation	搭乗|積載(物)
hardiness	逞しさ|頑健さ|強壮|大胆|厚顔
levodopa	=L-dopa
nonessential	本質的でない
improbability	ありそうもないこと|本当らしくないこと
hagiography	聖人伝|聖人研究
incomprehension	理解していないこと|無理解
catchphrase	標語|キャッチフレーズ
gecko	ヤモリ|(banded geckos 縞模様のヤモリ)　(外見は似ているが|ヤモリは爬虫類でイモリは両生類 )
typeset	活字に組む
antichrist	反キリスト
palimpsest	パリンプセスト(の)|もとの字句を消した上に字句を記した(羊皮紙)|裏面にも文字を刻記した(黄銅記念標)|(表側から見える)多層構造
cartographer	製図家|地図製作者
intestate	遺言を残していない
scamper	すばやく走る|疾走|素早く走り回る|(子供や動物が)跳ね回る|大急ぎで走る|疾走する
hygienist	衛生学者|保健師
miscalculate	計算違いをする
restorer	元へ戻す人|修復する人
transaminase	アミノ基転移酵素
machinist	機械工
deionized	脱イオン
waterline	(船の)喫水線
hieroglyphic	象形文字(の)
pleasantness	心地よさ|楽しさ
lineal	直系の
quiescence	静止|無活動
overzealous	熱心過ぎる
headlight	ヘッドライト|ヘッドランプ
gummy	ゴムの|粘着性の|ねばつく|ゴムの付いた|ゴム液を出す
hematite	赤鉄鉱
abrogation	＜abrogate|(法律などの)廃止|破棄
adsorbate	吸着物
inhere	〈性質などが〉(〜に)固有のものとしてある《+『in』+『名』》
butane	ブタン(メタン系炭化水素の一つ)
iguana	イグアナ
stimulator	刺激装置
strew	をばらまく
unclassified	分類されていない
courgette	ズッキーニ|小さいセイヨウカボチャ
countermeasure	対策
