monetarism	通貨主義
bewilder	まごつかせる|当惑させる|驚き呆れさせる
promethium	プロメチウス(希土類元素;化学記号はPm)
flatcar	長物車(木材・鋼材などを運ぶ屋根・側面のない貨車)
consulship	領事の職(地位|任期)
proteasomal	プロテアソーム(proteasome|タンパク質の分解を行う巨大な酵素複合体)の
menfolk	男たち|男性|男連中|複数扱い
immunostained	免疫染色
nostalgically	昔を懐しんで|郷愁で
menstruate	生理がある
horsebox	馬運搬用貨車(トレイラー)
frazzle	ぼろぼろになる|へとへとに疲れる|〜ぼろぼろにする|へとへとに疲れさせる|ぼろぼろの状態|くたくたの状態
unclouded	澄み切った|かげりのない
affability	愛想の良さ|感じの良さ
affright	《古》〜'を'こわがらせる
recantation	(主張･陳述などの)撤回|取消し|否認
flannelette	綿ネル(フランネルのように表面がけば立っている)
outplay	〜‘より'じょうずである;(競技などで)〜‘に'勝つ(defeat)
southwestward	南西へ(に)|南西の;南西への|南西|南西部
impracticality	〈U〉実行不可能|非実用性|〈C〉実行不可能なこと|実用的でないこと
hyaena	=hyena
abrade	〈皮膚〉'を'擦傷する;〈毛・岩など〉'を'すり減らす
upholster	〈いす・ソファー〉‘に'詰め物をする|クッション(おおい)を取り付ける|〈部屋〉‘に'じゅうたん(家具)を取り付ける
expostulation	いさめること|訓戒;説伏
debunker	正体をあばく人|仮面をはぐ人
grampus	ハナゴンドウ(暖かい海にいるイルカ科の動物)
hexapod	六脚類|昆虫
graupel	雪状のあられ
gallimaufry	雑多な寄せ集め|ごたまぜ
besmirch	《文》〜'を'汚す
conventioneer	大会出席(参加)者
duckbill	カモノハシ
dilapidation	〈U〉荒廃|破損|《複数形で》(家具付き家などの)家具破損料
stereograph	ステレオ写真、立体図
flacon	(栓付きの)小びん
orbitofrontal	Orbitofrontal cortex眼窩(がんか)前頭皮質|ヒトの脳の一部で|意思決定などの認知処理に関わっている
foreordain	(神などが)〈人の運命・破滅など〉‘を'あらかじめ定める
protestation	抗議
retrench	(費用などを)削減する|削除する|省く
castellan	城主|城代|城守
frack	(=fracking)|(シェールオイルの掘削の際)高圧水で岩を砕くこと(=hydraulic fracturing)
