facetious	冗談の|滑稽な|ひょうきんな|愉快な
polyadenylation	ポリアデニル化|RNAにポリA鎖(poly-A tail)を付加すること|遺伝子発現過程の一部であり|ポリA鎖はmRNAの安定性に関わる
sarsaparilla	〈C〉サルサ[パリラ](中国米に産するつる植物)|〈C〉サルサ根(薬用・シロップの香料に用いる)|〈U〉〈V〉サルサ[パリラ](サルサ根の香料人り清涼飲料)
bobwhite	コリンウズラ(北米産のウズラの一種)
clastic	(地質が)砕屑(さいせつ)性の
brawny	筋骨たくましい
gonad	性腺(せん)|生殖腺
barberry	メギ(赤くて細長く酸味のある実をつける低木)
scandium	スカンジウム(希有金属元素;化学記号は『Sc』)
embolden	励ます|大胆にする
historicity	史的確実性|歴史的実事性|史的典拠
flyweight	(ボクシング・レスリングの)フライ級の選手(112ポンド(約50.8キログラム)以下)
shinny	=shin
incorruptible	買収されない|腐らない;不朽の|不滅の
puritanism	清教(主義)
blazon	〜'を'公表する|公告する《+『forth』(『out』|『abroad』)+『名』》|〜'を'鮮やかな色彩で飾る|〈紋章〉'を'盾(たい)に描く|〜'を'紋章で飾る|紋章
bogeyman	悪鬼|恐ろしいもの|子取り鬼|悩みの種|怖いもの
optimistically	楽観して|楽天的に
snobby	俗物の|尊大な|横柄な|偉そうな|つんとした|きざな
assiduously	熱心に
cognizable	認識できる|裁判所の管轄内の
ashlar	切り石(四角に切った建材用の石)|切り石積み(仕上げ)
enamelware	エナメル容器|ほうろう鉄器
shellshock	爆弾性ショック(戦争の衝撃による自制力・記憶力・視覚などの喪失症)
piquant	ぴりっとする
painterly	絵画的な
torturous	残酷な|拷問の
grump	文句を言う|不機嫌|文句ばかり言う人|こぼし屋
fantasyland	ファンタジーランド
unreservedly	遠慮なく
eclecticism	折衷主義
inseparably	分けられないで|離れられずに
canonization	列聖|列聖式
reprobate	に反対する|非難する
insensible	《補語にのみ用いて》(痛みなどに)無感覚の《+『to+名』》|意識を失った|人事不省の|《補語にのみ用いて》(〜に)無感動な|無関心な《+『to+名』》|《補語にのみ用いて》(〜に)気づかない《+『of+名』》|気がづかないほどの
cartage	荷車(馬車)による運搬[料金]
impeachable	弾劾すべき
seasick	船酔いした
evensong	(英国国教会の)夕べの祈り|晩祷(ばんとう)
fenestration	窓割り(建物の窓や外壁開口部の設計・配置)
carbuncle	癰(よう)|疔(ちょう)(悪性の吹き出物)|ざくろ石;《古》紅色の宝石(紅玉など)
dephosphorylation	脱リン酸化
yodel	ヨーデル|歌う(ヨーデル調で)
clomipramine	クロミプラミン|抗うつ薬として用いられる有機化合物の一種
celerity	(行動の)迅速(じんそく)|敏速
catsup	ケチャップ|ケチャップ色
guffaw	(下品な)ばか笑い|突然の高笑い(大笑い)
easternmost	最も東方(東部)の|極東の
soupy	スープのような|ドロドロした|どんよりした|霧の濃い|酒に酔って|感傷的な
aerate	空気を含ませる|浄化のために空気にさらす|血液に酸素を供給する
probationer	見習い生|試験中の人
syncopate	(音楽で)〜‘に'切分音をおく|〈語中の音〉‘を'消失させて音節を減らす(例えば overをo'erとするなど)
bawl	わめく|叫び|大声でわめく|しかる|ワーン|泣き声
eclair	(仏)エクレア(細長いシュークリームにチョコレートをかけた洋菓子)
solicitude	気遣い|心配事|憂慮|配慮
lighting	明暗|照明|点火|点灯|採光|照明装置|ステージライト
guv	おやじ|親方|だんな
pawnbroker	質屋
escargot	エスカルゴ|食用カタツムリ
economize	倹約する
reverently	うやうやしく
hostelry	旅館
hominy	ひき割りトウモロコシ|外皮をとったトウモロコシ
crawlspace	人間がはって通れるぐらいの空間
archaeal	古細菌の
agglutinin	凝集素(赤血球などの凝集反応を起こす抗体)
barmaid	バーのホステス|女性バーテンダー
limpet	(貝)カサガイ|しつこくまといつく人
recognizance	誓約|誓約保証金|誓約所
preeminence	抜群|卓越
sketcher	スケッチする人|略図(見取図)を書く人
gizzard	(鳥の)砂のう|《話》胃腸
unconditioned	無条件の|絶対の|(心理学で)生来の|本来の
footsie	(幼児語)あんよ|足|(テーブルの下などで)足を触れ合わせたりしていちゃつくこと|こっそり仲よくすること
mommie	ママ(幼児語)
motorcar	《おもに英》《米》『自動車』《米》automobile)
heterodimer	(生化学用語)ヘテロ二量体
schtick	注意を引くためのお決まりのしぐさ|おはこ|ギャグ
intercalate	〜‘を'間に入れる|挿入する|〈うるうの日・月〉‘を'暦に入れる
calumny	中傷|誹謗
perversely	意地になって
chromic	クロムの|クロム(特に3価のクロム)を含む
desecrate	冒とくする|神聖を汚す
transfigure	〜‘の'姿(形)を変える|‘を'変貌させる|〜‘を'神々しくする|代化する|理想化する
excretory	排出器官|排出の|排泄の
felonious	重罪の
smithereens	小破片
quizzical	いぶかしげな
transcriptome	トランスクリプトーム(transcriptome)|細胞中に存在する全てのmRNAないし一次転写産物(transcripts)の総体を指す
maxilla	顎骨|(特に)上顎骨
pyx	(カトリック教の)聖体容器|(またpyx chest)貨幣検査箱
spittle	つば (cough and spittle咳とつば)
circumspect	注意深い|用心深い|慎重な|用意周到な
demerit	短所
shouldst	=should
plaice	カレイ・ヒラメの類
roundness	丸さ|完合さ
punchbowl	フルーツポンチ用大皿
pulpwood	パルプ材(特に松・モミなど)
libitum	自由
acrimonious	しんらつな|辛辣な|痛烈な|毒々しい|刺々しい
subminiature	超小型カメラ|超小型カメラの|(電子装置の部品などが)超小型の
britches	半ズボン(breeches)
gestural	身振りの
tyke	のら犬|下劣な奴|雑犬|子供|(俗)ガキ
purposive	きっぱりした|決然とした|決断力のある|目的にかなった|目的のある
neurochemical	神経化学物質
stigmatize	に汚名をきせる|汚名を着せる|烙印を押す|非難する
matins	(また『mattins』)《しばしばM-》(英国国教会の)朝の祈祷(きとう);(カトリック教会の)夜半(夜明 け)の祈り|《しばしば単数形で》《詩》朝の鳥の歌
cooperator	(共通の目的を持った)協力者|協同者
sidetrack	〈人|人の話など〉‘を'わき道にそらす|〈列車〉‘を'側線に入れる|わき道|(鉄道の)側線|待避線
aborigine	原住民;《通例複数形で》土着の動物(植物)
fluo	フッ素(fluorine|元素記号F)|反応性が高く|天然には蛍石等で存在し|単体では存在しない|常温常圧で淡黄褐色の気体|強い酸化作用があり|猛毒
democratize	民主化する
lutea	黄体(卵巣中の組織)
abhorrence	嫌悪の情
bravura	(音楽･劇で)大胆で華麗な(演奏(演技|演出))
fathead	まぬけ
lawmaking	立法の|立法
enuresis	遺尿(いにょう)症|尿失禁|寝小便
androgenic	アンドロゲンの
blackish	やや黒い|黒みがかった
graffito	(特に|壁・便所などの)落書き
aphorism	警句|格言|アフォリズム|金言
crabapple	野生のりんご
amplicon	(生化学) アンプリコン|増幅産物(amplify増やす)
hemagglutinin	赤血球凝集素
barque	(=bark)|帆船の一種
doggone	忌まわしい|いまいましい|嫌な|ばかげた|呪うべき|呪う
pragmatically	実用的に|実用主義的に
plasterer	左官|石膏(せっこう)細工人
carryout	(食堂で)お持ち帰り料理|(料理が)お持ち帰り用の
houseman	雑役夫|下働き|下男
pitiless	無慈悲な|情け容赦ない
portly	肥満した
taskmaster	職工長|親方
senora	〈C〉〜夫人|奥様(英語の Mrs.に相茶)|〈C〉既婚婦人|淑女
beauteous	(気候･景色など)うるわしい
deathwatch	臨終の見取り|(またdeath watch beetle)チャタテムシ(カブト虫の一種)
veld	(南アフリカの)草原(地帯)|ヴェルド(人名)
circlet	小さな円|飾り環(女性が頭・腕・首につける)
concavity	〈U〉凹状|くぼんだ状態|〈C〉凹面
estimable	計算できる|価値のある|尊敬すべき
bifocals	二つに折りたためる|遠近両用メガネ
ascertainment	確認
impudent	ずうずうしい|厚かましい|恥知らずの|生意気な
wibble	とりとめもなく話す
bettor	賭けをする人
similitude	〈U〉類似|相似;〈C〉(〜と)似た姿《+『of』+『名』》|〈C〉(たとえ話・直喩で用いられる)たとえ|比較
heroically	雄々しく
pekoe	《しばしばP-》ペコー(スリランカ・インド・ジャワ産の高級紅茶)
reformatory	少年院
kayaker	カヤッカー|カヤックに乗る人
surreptitious	不正の|秘密の
petulant	不きげんな|短気な|怒りっぽい
paraclete	聖霊(the Holy Spirit)
underhanded	公明でない|陰に隠れた
stylistics	文体論
stepsister	腹違いの姉妹|父親違いの姉妹
subsume	(規則･範疇)などに)包摂(包含)する
muzzy	鮮明でない|(病気やアルコールのために)頭がすっきりいない|ぼんやりした
folksy	庶民的な
nonchalant	無頓着な|無関心な|冷淡な|平然とした|冷静な
disloyalty	不忠
laconic	簡潔な
typify	の典型である|類型化する|代表する
underpart	(物の)下部|下側;(動物の)腹部
askance	斜めに|横目に|横目で
pirouette	つま先旋回(する)
summons	召喚する|呼び出し|出頭命令|召喚
baronial	男爵(領)の|男爵にふさわしい
childproof	子供が扱っても緩れない(危険がない)
huckster	呼び売り商人|行商人|押しの強いセールスマン|金目当てに働く人
denouement	(劇などの)大円団|終局|解決|やま|こみいった事件の結末
consonance	〈U〉〈C〉(二つの音の)調和;協和音|〈U〉(趣味・意味などの)一致|調和|〈U〉(音の)共鳴
cadenza	カデンツァ(楽曲の中で|独奏(唱)者が伴奏を離れて独自に演奏する華やで技巧的な部分)
endear	慕わせる|いとしく思わせる
satiric	風刺の
redstart	ジョウビタキ(赤い尾をもつヨーロッパ産の小鳥)|アメリカムシクイ(赤橙色の斑点のあるアメリカ産の小鳥)
sanctimonious	信心ぶった
wurst	ソーセージ
topspin	トップスピン(回転しながら進む球の回転運動)
constructionist	(法律などの)解釈者
bumpkin	バンプキン|(いなか出の)ぶこつ者
depute	〈人〉‘を'代理者(代表者)にする;(〜するように)〈人〉‘を'代表にする《+『名』+『to』 do》|(代理者に)〈権限・任務など〉‘を'委任する《+『名』+『to』+『名』》
ghostwriter	代作者|ゴーストライター
foolscap	〈U〉(洋紙の)フールスキャップ判|大判|=fool's cap
rightward	右の方の|右方へ向った|右の方へ(に)|右手に
unmeasured	法外な
deflationary	通貨収縮の|デフレの
washing	洗うこと|洗濯|洗濯物|洗浄液|めっき|水仕事
lumpectomy	腫瘍摘出手術|乳腺腫瘤摘出
pally	(〜と)親しい|仲の良い《+『with』+『名』》
weightlessness	無重力
tellurium	テルル|非金属元素|元素記号Te|太陽電池や各種電子部品の材料|ビスマスとの合金は熱電変換素子|先端工業に欠かせぬレアメタルの一種|日本でも産出する
semitrailer	セミトレーラー(前部をトラクターと接続するトレーラー) = semi-trailer
cantankerous	意地の悪い|けんか好きの|意地悪の|つむじ曲がりの|けんか腰の
pinyon	=pinon
lovesick	恋いわずらいの|恋いに悩んだ
granddad	祖父
sphygmomanometer	血圧計|脈圧計
connote	暗示する|内包する|意味する
moralistic	教訓的な
