ulna	(人の腕|動物の前肢の)尺骨
generalizability	一般化可能性
blackhead	上部が黒いにきび(吹出物)
expropriate	(特に|公共の用にあてるため|個人・企業から)〈私有財産〉‘を'没収する|〈人〉‘から'(財産を)没収する《+『名』〈人〉+『from』+『名』》
civet	ジャコウねこ(civet cat)から採る香料
tollgate	通行料金徴収所
transept	翼廊|(十字形教会堂の)左右に直角に張り出す部分|トランセプト
dispensable	無くてもすむ
plink	(銃などで練習･遊びとしてを)撃つ|(楽器などを)ポロン･ペンと弾く|(チリン･リンなど)軽く響く音を断続的に立てる
abstruse	難解な|難しい|深遠な
embryonal	胎生の|胚性の|胚
shakeout	急反落|暴落
televangelist	テレビ伝道師
succour	=succor
telekinesis	念動[作用](外力を加えず念力で物を動かす)
forsythia	レンギョウ|早春に黄色い花を鈴なりに付ける低木
protean	Proteusプロテウス(ギリシア神話|変幻自在の海神|)の(ような)|変幻自在な|多方面の
carpel	(花の)心皮(生長して果皮となり|そこに実がなる)
stoat	貂|テン|イタチ(夏に毛が褐色)
spirt	=spurt
bulrush	《米》フトイ|《英》ガマ(水辺・沼にはえる植物)
contiguity	広がり|接近|接触|隣接|隣接性|連続
cattleman	牛飼い|牧場主
alphabetize	〜'を'アルファベット順に並べる|〜'を'アルファベットで表す
grounder	簡単に解決できる殺人事件|(野球)ゴロ(= ground ball)
strew	をばらまく
trachoma	トラコーマ|トラホーム(眼の伝染病)
verdure	(草木の)新緑|緑の草木
exclusiveness	排他[性]|独占
misapplication	誤用|乱用
bosun	=boatswain
spinney	雑木林|木立
etiological	因果関係の(ある)|病因の|因果関係学の
mummification	ミイラ化
passbook	銀行通帳(bankbook)
murk	真暗やみ|暗黒
hullo	やあ
butterfat	牛乳の脂肪
firkin	(バター・ラードなどを入れる)小型の桶(おけ)|ファーキン(英国の容量単位|1|4barrelに相当)
coxswain	(競漕用ボートの)舵(だ)手|かじ取り|艇長
spat	ささいなけんか|いさかいをする|spit(つばや悪口を吐く)の過去分詞
misquote	誤って引用する
protestor	抗議者
baleful	有害な|不吉な|悲惨な|元気のない|悪意に満ちた
chafer	コガネムシ
volitional	意志の|意志に関する|意志に基づく
jerkin	(16‐17世紀ごろ男子が用いた)袖無しの上着
foist	(偽物など)を人につかませる|押しつける|そっと挿入する|偽って～の作だとする
theodolite	経緯儀(鉛直角・水平角を測定するのに使う器械)
alar	翼のある;翼の形をした
workfare	勤労福祉制度
glottal	(のどにある)声門の
pachyderm	(pˈækɪd`ɚːm)厚皮動物(カバ･ゾウ･サイなど)|鈍感な人
irrationally	非合理的に
slake	満足させる|を和らげる|を満たす|を晴らす|を消す
unalterable	変えられない|不変の
jetport	ジェット機用空港
sandblast	砂吹き(噴砂機でガラスや金属を切磨すること)
inexpressible	言い表せない
mercuric	(特に)第二水銀の(を含んだ)
inrush	突入|侵入，来襲・流入，殺到 〔of〕
purslane	スベリヒユ(サラダなどに入れて食べる雑草)
pettitte	(仏語)ペティット(小柄な|小さい)
wantonly	きまぐれに|きままに|浮気に
squeezer	圧搾器|(レモンなどの)絞り器|搾取者
samovar	サモワール(おもにロシアで用いられているお茶用の湯沸かし器)
indoctrinate	に教え込む|吹き込む
beheading	断頭
footstep	足音
acrimony	(言葉･気質など)辛辣さ|とげとげしさ|厳しさ
bristly	剛毛の
lockjaw	=tetanus
deaden	弱める|鈍らせる|消す
conciliate	〈人〉'を'なだめる|懐柔する;〈人〉‘の'好意を得る
soever	《who|what|whereなどと連結して》どんな〜でも|たとえどのように〜とも|《否定語を強調して》全然[〜でない]
tracing	さかのぼる|透写|追跡|捜索|複写
ruefully	残念そう
slothful	不精な
hallucinogen	幻覚剤
tomfoolery	ばかなまね
ruthlessness	無慈悲
gnash	歯ぎしり(する)
unglued	取り乱した;狂気の
pompadour	ポンパドゥール(男性のオールバック|または女性の前髪をなで上げて後ろで束ねた髪型)
reassuringly	安心させるように|はげみになるように
pisum	エンドウマメ|別名グリンピース|サヤエンドウ
preclusion	防止|妨害
grownup	『成長した』|成人した|『おとならしい』|おとなに適した|『おとな』
engram	エングラム(経験によって生ずる神経系細胞内の構造別化)|(記憶の)痕跡|印象
snaffle	(馬の)はみ|小勒(しょうろく)
miscible	混和できる
coif	頭布(ずきん)(騎士がかぶとの下に修道女がベールの下につける)|=coiffure
parachutist	落下傘で降りる人|落下傘兵
calorific	熱の|熱を生じる
fief	(封建時代の)領土|封土
estrous	発情期の
osteoblast	骨芽細胞
electroshock	電気ショック療法
shakeup	(事業・政治上の)大異動|大刷新
stopgap	当座しのぎ|穴ふさぎ|間に合わせの
phosphorescent	リン光性の;青光りする
inchoate	始まったばかりの|初期の|不完全な|未完成の|組織化されていない|形の定まらない
surtax	所得税|付加税
anechoic	(録音室・スタジオなどが)反響のない|無響の
scatterplot	散布図
foundling	拾い子|捨て子
illiberal	心の狭い|狭量の|物惜しみする|けちな
lento	(音楽が)おそい|ゆっくりした|ゆっくりと[演奏して]
voyeuristic	(vwὰːjɚ(ː)rístɪk)覗き見の|覗き見趣味の
stationer	文房具商
albinism	先天性白色症|白子
onlooker	傍観者|観客|見物人
firebrick	耐火れんが
deathless	不死の|不滅の(immortal)
garbanzo	=chickpea
tarsal	足首の|足根骨
debase	の品性を落とす|の品質を低下させる
coactivator	コアクチベーター(共に活性化する要素)
deice	〈飛行機・自動車・冷蔵庫など〉‘の'結氷(結霜)を取り去る|結氷(結霜)を防ぐ
treadle	(ミシンなどの)踏み子|ペダル|踏み子(ペダル)を踏む
hearthside	炉ばた
scummy	浮きかすの多い|下等な
gateau	クリームケーキの一種
chiaroscuro	(イタリア語)キアロスクーロ|白と黒のスケッチ (light and dark)
gimmicky	見てくればかりの|からくりで人目を引く
propulsive	推進力のある|推進する
ensnare	(人･動物を)わなに掛ける|誘惑する
bellicose	好戦的な|敵意に満ちた|けんか早い|けんか好きな
hypogonadism	性腺機能低下症
undergird	〜‘に'しっかりした基礎を与える|‘を'強化する
nonsectarian	特定の宗派に属さない|無宗派の
hydrophone	水中聴音器;(医学用の)通水聴診器
megalomaniac	誇大妄想狂
tipple	(恒常的に)酒を飲む|アルコール飲料
abscissa	横座標
freckle	そばかす
allergist	アレルギー性疾患専門医
tansy	〈C〉コモギギク[属](小さな黄色い花の房をつける)|〈U〉(薬用・食用の)ヨモギギクの汁
congruency	=congruence
flab	ぶよぶよ|ぜい肉
paroxysm	発作(sudden attack)|けいれん(spasm)|ひきつけ(fit)
ouzo	ウーゾ|ブランデーにアニス(地中海産のセリ)の香りをつけたギリシアの無色のリキュール
liveliness	元気のあること;陽気|鮮やかさ
godson	洗礼で教父母が名づけた息子|Cf|godchild(〃幼児)
toddle	よちよち歩く|赤ちゃんの歩く様子|toddlerヨチヨチ歩きの赤ちゃん
adjectival	形容詞的語句|形容詞の･を作る
feckless	無効な|無能な|役に立たない
stereophonic	ステレオの|立体音響(効果)の
hoedown	(スクエアダンスを中心にした)地域ぐるみのダンスパーティー
circumnavigate	周航する
niggle	めんどうな
likeminded	同じ心(意見|趣味)をもった
deckchair	甲板いす
artificer	技術者|(船の機関室の)技術兵
funicular	ケーブルカー|鋼索鉄道|ロープによる|ロープの|索状の|珠柄の|吊り重り作用の
medulloblastoma	髄芽腫
clapboard	かちんこ|羽目板|に下見板を張る
stirring	感動的な|活発な|多忙な
gluconeogenesis	糖新生(とうしんせい|gluconeogenesis)|飢餓状態に陥った動物が|乳酸|プロピオン酸|グリセロールなどの糖質以外の物質からグルコースを生産する経路
pipedream	非現実的な(夢のような)考え(話|計画)・夢想
stepmom	継母
indolence	怠惰|なまけ
comedienne	喜劇女優|女性コメディアン
profundity	深遠
dewdrop	露のしずく|露の玉
turgid	腫れ上がった|大げさな
exigency	緊急性|危急|緊急事態|急場|急迫(した事情)|切迫
muchly	大いに
catchword	欄外見出し語|スローガン
vivarium	生態動物園(動物が自然に近い状態で飼育されている)
interlinear	(本の)行間にある|行間に書き入れた
unenviable	あまりうらやましくない|あまり欲しくない
antinuclear	原子力開発に反対の|反原子力主義
unfeeling	無感覚の|無情な|冷酷な(cruel)
catatonia	緊張[型分裂]病(筋肉硬直や精神混迷を伴う)
enunciate	発音する|明確に系統立てて説く|宣言する|公表する
evaluable	評価が可能な
flapjack	ホットケーキ|クッキー|揚げパン
revolutionist	革命家;革命論者
irascible	怒りっぽい|かんしゃく持ちの|短気な|怒った|(人･性質など)おこりっぽい
jackknife	(また『clasp knife』)ジャックナイフ(刃のたためる大型のポケットナイフ)|えび型飛込み|ジャックナイフダイブ|(トラクター・トレーラーなどが)まん中でVの字に折れ曲がる
blare	鳴り響く|耳障りな響き
denude	〜‘を'裸にする;(物を)〈人・物〉‘から'はぎ取る《+『名』+『of』+『名』》
misreport	《しばしば受動態で》〜‘を'虚報を伝える|‘を'誤って報告する
roadwork	ロードワーク(長距離ランニングによる体力作り)
seminarian	神学校の学生|神学生|(神学校出身の)聖職者
stele	(文字や模様を彫刻した考古学上の)石柱|石碑
jowl	顎(特に下顎)
dreck	安物
incorporeal	体のない|無形の|霊的な
gherkin	(酢づけにする)小キュウリ
crape	クレープ|クレープの喪章|ちりめん|縮らせる|crape myrtle百日紅(サルスベリ)
mouldy	=moldy
softie	気が弱い人|人の言いなりになる人
hydroplane	水上滑走艇|水上飛行機(seaplane)
teatime	(午後の)お茶の時間
woodenware	木製台所用品(木ざら・木さじなど)
pushover	くみしやすい相手|カモ
breathy	気息音の交じる|息遣いが聞こえる
hysteric	=hysterical|《複数形で》ヒステリーの発作|〈C〉ヒステリー患者
exultation	(〜での)大きな喜び《+『at』+『名』》(〜に対する)勝ち誇った気持ち《+『over』+『名』》
selfsame	全く同一の
glaucous	《文》淡い青緑色の|(ぶどうなど)白い粉の吹いた|白色を帯びた
soberly	真面目に|冷静に|酔わないで
pulverize	(議論などを)粉砕する|粉にする|粉々に砕く|液体を霧状にする
knobby	でこぼこの|こぶだらけの
schmaltz	過度の感傷主義|感傷性
fetid	強い悪臭を放つ|臭い
singleness	単独;独身|専念|専心
kaput	やられて|だめになって|ぶちこわされて
tailspin	きりもみ降下(落下)|(経済的)混乱|狼狽|動揺
blackface	黒綿羊(くろめんよう)|黒人に扮した役者|肉太活字(の)
indefiniteness	不確定|不定
windsock	(風向表示用の)吹き流し(空港などに設置される筒状の布製風見)
yearning	切望している|あこがれる|あこがれ|同情
unquiet	平静でない|落着きのない|不安な
herbage	草|(特に)牧草|(草の)葉と茎
twaddle	無駄口
running	走ること|走力|経営|管理|運転|走る|現行の|広まっている|(植物が)つる性の
chanterelle	アンズタケ(黄色の食用キノコ)
unutterable	言いようのない|言語に絶する|発音できない
beefeater	ロンドン塔の守衛|英国王の護衛兵(yeoman of the [English royal] guard)|牛肉を食べる人
inelegant	優美でない
shoehorn	靴べら|詰め込む|押し込む|(何かにフィットするように)合わせる
veep	(vice presidentの頭の文字から)副大統領
poppycock	ばかげた話|たわごと
nebular	星雲の;星雲状の
taciturn	口数が少ない
translocase	トランスロカーゼ(酵素)|転位酵素
eutrophic	(湖が)富栄養の|(動植物の)栄養物が豊かな
laterality	左右差
superpose	(〜の上に)〜‘を'重ねて置く《+名+on(upon)+名》|(幾何で)〈図形〉‘を'重ね合わせる
betrothal	婚約
nippy	(幼児語)おしゃぶり(=pacifier)|すばしこい|厳しい
trimaran	三胴船
boorish	百姓風の|野卑な|無骨な|無粋な
crampon	つかみ金(氷・材木・石などの重い物をつかむ)|《複数形で》(また『climbing irons』)アイゼン|鉄かんじき
glaciology	氷河学
millpond	(水車用)貯水池|水車池
gullibility	だまされやすいこと
densitometer	(写真現像の)濃度計
barmy	愚かな|少し気が変な(《米》balmy)
unclog	〜‘から'障害を除く|‘の'じゃまをなくす
microtiter	マイクロタイター
ignoramus	無学な人
melancholia	憂うつ病|憂鬱病
pilothouse	(船の)操舵(そうだ)室
microinjection	マイクロインジェクション(微小噴射)
ramification	事態の波及|なりゆき
skitter	水面すれすれに飛ぶ|速やかに進む|流し釣りをする
incarcerate	幽閉する|監禁する|閉じ込める
keratinocyte	ケラチノサイト|角質細胞|ケラチン生成細胞|角化細胞|ケラチン細胞
mordant	辛らつな|皮肉な|刺すように鋭い|ヒリヒリする|色止め料|粘着剤|腐食剤で処理する
computerize	コンピュータ化する
torturer	苦しめる人|拷問にかける人|拷問者
somnolence	傾眠(始終眠気を催す状態)
diatomic	(1分子中に)2原子の(を含む)
pharmacologist	薬理学者|薬物学者
pinstriped	極細縞の|(極細縞の服を着る)実業家|弁護士|銀行家の|金持の
kittiwake	ミツユビカモメ(長い翼を持つ鳥)
mafioso	マフィアの一員
dormouse	ヤマネ(リスに似たネズミで冬眠する)
smidgen	ほんの少し|ごくわずか(の量)|ごく少量|みじん|非常に小さなもの|非常に小柄な人
bunion	腱膜瘤(足の親指の内側にできるはれ物)
snobbish	俗物の
haymaker	干し草を作る人(機械)|《米話》強烈な一撃
anodyne	鎮痛薬
cultic	熱狂的な|狂信的な
intension	(精神の)緊張|努力|強度|激しさ|猛烈さ
merchantable	販売用の|売り物になる
dearie	deary|かわいい人|(ねえ)あなた|darling|dear
cloaca	下水|便所
comeuppance	当然の罰(報い)
doyen	(団体などの)古参者|長老|大御所
disbar	〜‘の'弁護士の資格をはく奪する
wive	〜‘を'めとる|妻帯する
finny	漁の|魚がたくさんいる|ひれのような|ひれのある
hyperopia	遠視
jazzercise	ジャザサイズ(ダンスのフィットネスプログラム)
ultramodern	超近代的な
conjectural	憶測上の
rumination	反芻|沈思|黙考
auscultation	聴診
hydrosphere	(地球の)水圏|(大気中の)水気
raconteur	話しじょうず
stopcock	コックのせん(turncock)
misogynist	女嫌いの人
spiff	きちんとした(気の利いた)ものにする|めかす(up)
pieta	ピエロ(キリストの遺体をひざにだいて嘆く聖母マリアの絵や像)
idler	怠け者|なまけ者|役立たず
quintuple	5倍の|5重の;5部(5人)からなる|5倍|5倍の量(数)|5倍になる|〜‘を'5倍にする
castigate	厳しく罰する|きびしく非難する|添削する
compulsorily	強制的に|義務的に
packhorse	(荷物を運搬する)駄馬(だば)
effusive	感情むき出しの
sapsucker	シルスイキツツキ(くちばしで穴をあけ樹液を吸うキツツキ)
yearend	年末の
dutiable	(輸入品などが)関税を課せられる|有税の
cubical	=cubic1
supernumerary	規定数以上の|定員外の|(せりふのない)端役(人)
