thinly	まばらに|やせて|希薄に|細く|弱く|薄く|トラック競技の選手|ランナー
flywheel	(回転を助ける)はずみ車
graciously	優雅に
seasoning	調味料|調味(料)|味付けすること(もの)
whiplash	鞭紐
reassurance	安心させること|元気づけ|再保証|(新たな)自信
fortification	防御
harmonize	調和させる|調子を合せる
henna	(植物)ヘンナ(髪を染める染料ができる)|染料(赤褐色)
kink	(ロープ･糸の)よじれ|縮れ|(心|性格の)特異性|(妙な)くせ|気まぐれ|妙な考え|名案|変なやつ|筋違い|(筋肉が)つること|問題点|欠点|よれる|もつれる
outspoken	率直な|ずけずけ言う|遠慮のない|歯に衣きせぬ
asymmetrical	非対称の
javelin	投げやり(スポーツ)
verily	確かに|誠に
ardent	情熱的な|熱心な|熱烈な|燃えている|燃えるように輝く
rearrangement	再配列
forcibly	強制的に
postulate	(自明のこととして)仮定する|仮定|前提条件|必要条件
edgy	(口)いらいらした|刃の鋭い|とげとげした
bugle	らっぱを吹く|ラッパ(無弁の|有弁のラッパはtrumpet)
aerodynamic	空気力学の|空力的な|航空力学的な
evaluative	評価的な
extravagant	過度の|浪費する|贅沢な|法外な|膨大な
astute	機敏な|抜け目のない|ずるい|目先がきく
solute	溶質(解けている物質) cf|solvent溶媒(溶質を溶かしている溶液)
transgression	(法|命令などの)違反|逸脱|破戒|(陸地への)海進|犯罪|(宗教･道徳上の)罪
ridiculously	ばかばかしいほど
legible	(字が)読みやすい|判読可能な|見易い
gymnast	体操選手
satchel	学生カバン
ethnographic	民族誌の
attractiveness	魅力的であること
doubly	二重に
fandango	ファンダンゴ(スペインの陽気な舞踏)
depositor	預金者
fiance	(仏語)(男の)婚約者
ventral	腹の|腹部の|腹面の
commendation	推薦|賞賛
transcendental	人知の及ばない|超越的な|超自然的な|すぐれた|形而上の|先験的な
flotation	浮揚(性)|浮遊選鉱|浮選|企業の資本金を集めること|起業|設立
falsehood	うそ
gulp	盲信する|飲込む
polyclonal	Polyclonal Antibody|pAb|ポリクローナル抗体(複数種類の抗体が混在しているもの)
commotion	動揺|動乱|興奮|騒動
cuss	のろい|悪口|やつ|野郎
plover	チドリ
ecologically	生態学的に
unconfirmed	未確認の
degenerative	退化した|変性
ostensibly	表向きは|うわべは
filet	(仏語)ヒレ|牛･ぶたの腰から背にかけての上等な肉
tibia	脛骨|ティビア
suppressant	抑制剤
oregano	ハナハッカ|オレガノ(香辛料)
schooner	スクーナー船
consummate	完成する|完全な|まったくの|有能な|無上の|極点に達せしめる
criticality	臨界
meh	まあ
remorse	後悔|自責の念|良心の呵責
clout	権力|影響力|勢力|政治的影響力|一殴り|(野球の)ヒット|強打|(口)殴る|打つ
spacer	スペーサー
whittle	削る|をナイフで(少しずつ)削る|を減らす
chimera	キメラ|同一個体内に異なる遺伝情報の細胞が混在すること|ギリシア神話のキマイラ(ライオンの頭･ヤギの体･蛇の尾の火を吐く怪物)に由来
feces	ふん便(《英》faeces)
subvert	くつがえす|(国家などを)打倒する|滅亡させる|堕落させる
mountaineer	山の住人|登山家|登山をする
archangel	(ユダヤ教・キリスト教・イスラム教の)大天使|天使長
quintessential	精髄の|本質の
vibrate	振動する|揺れる|震える|感動する|を揺り動かす
breech	(銃砲の)砲尾|銃尾
multivitamin	マルチビタミン剤|総合ビタミン剤
hetero	(ギリシア語)ヘテロ|異性愛の
purposely	わざと
unholy	神聖でない
chock	留め木|くさび(で留める)
impossibility	不可能
hajj	メッカ巡礼
logarithm	対数
novella	(イタリア語)短編物語
