loony	頭がおかしい
denture	(一組みの)義歯
workhorse	使役馬|働き者
moslem	イスラム教の
permanence	永久|永久不変|永続(性)|耐久(性)
coincident	同時に起こる
monotype	モノタイプ(活字の鋳造植字機械)|〈U〉モノタイプ印刷方式
enviable	ねたましい|うらやましい
categorically	範疇の(をなす･に属する)|分類別の|絶対的な|断定的な
foothold	足場|拠点|地盤|よりどころ|立脚点
catnip	イヌハッカ(植物)
inflection	(文法)屈折形
eloquently	雄弁に
hanky	ハンカチ
bluish	青みがかった
sheathe	〈刃物など〉‘を'さやに納める|(保護物で)〈物〉‘を'おおう|包む《+『名』+『with』(『in』)+『名』》
ambivalent	あいまいな|相反する物･意見･感情を持つ
appellation	名称|呼称|称号
bruise	打撲傷|打ち身|挫傷|傷跡|傷つける|に傷を与える|へこませる|あざをつける
cornucopia	(ギリシア神話)豊穣の角(つの|幼時のZeus神に授乳したとされるやぎの角)|くだもの･花のあふれた角|豊かさの象徴|豊富
speedometer	速度計
lewd	みだらな|放蕩な|下劣な
runny	柔らか過ぎる|粘液を分泌する|流れやすい|流れる傾向のある
thither	そこへ|あそこへ
assuredly	確かに
vesicle	(医)|小水泡|ベシクル|小疱疹|小胞|小嚢|小胞
viaduct	陸橋|高架橋
constabulary	警官隊
intelligible	理解できる|わかりやすい|知性的な
defibrillator	除細動器|細動除去器(心臓疾患医療具)
timbre	音色|音質
moorland	荒れ地
adversarial	対立する|敵対する|反対の|反対者の
demonstrator	デモ参加者|示威運動者|実験の助手|実地説明者|証明者
upturn	景気上昇
boyhood	少年時代
sustenance	維持すること|食物|栄養物|生計
campion	センノウ・マンテマなどナデシコ科の多年草
fester	(悲しみなどが)うずく|痛む|苦しめる|ただれる|(傷などが)膿む|腐る
disrespectful	失礼な
curd	凝乳|乳が固まったもの
diagonally	対角線上に
glint	きらきら光る
wizardry	魔法|魔術|妙技
fervent	熱烈な|誠意を込めた|強烈な|熱い|焼ける|燃える
wacko	頭のおかしいやつ|へんなやつ
triplex	3倍の|3重の|《米》(各戸独立の)3階建てアパート|〈U〉《しばしばT-》《英》《商標名》(自動車用の)3重ガラス
delusional	妄想の
tosh	あなた|あのう|きみ|がらくた|戯言|ナンセンス
peeler	(野菜などの)皮むきナイフ
passageway	廊下
herbalist	植物学者|漢方医|薬草商
aggravation	悪化|重大化
machete	なた(中南米で砂糖キビを切ったり|また武器として用いる)
lariat	投げ縄
halve	等分する|半減させる
firmness	確固不動|強硬|決意の固さ|堅さ|堅固|堅実|断固とした態度
petticoat	ペチコート|短いスカート|スカート型のもの
swindle	だます|詐欺(を働く)|を詐取する
unequivocally	明白に
selfless	無私の
scrip	1ドル札|仮株券|仮社債|軍票|(代用)紙幣|臨時紙幣|処方箋
whoop	大声で叫ぶ|叫び声|喚声|ホーホー鳴く(声)
perspiration	努力|汗|発汗(作用)
earthworm	ミミズ
chug	(エンジンなどの)ポッポッという音(を立てる)
liquidator	[公認]清算人
mirth	陽気|歓楽|歓喜
moiety	半分|一部分|(一人の)分け前
tasting	試食|試飲|味見
livable	住むのに適した|住みやすい
earpiece	《通例複数形で》(帽子の)耳おおい|《通例複数形で》(眼鏡の)耳づる|〈C〉受話器;イヤホーン
counterproductive	逆効果の(を招く)
tusk	tusk(切歯由来の牙|象･イノシシ･セイウチ･カバ等)|牙で突く
environmentalism	環境保護主義
instep	甲|足の甲|((反)sole)
neoclassical	新古典主義の
mediaeval	=medieval
adenine	アデニン|核酸を構成する5種の主要塩基の一つ|シアン化水素とアンモニアを混合し加熱するだけで合成されるため|原始の地球でもありふれた有機物だったと考えられる
petunia	ペチュニア(花)
lysis	(生物学用語)溶解|細胞溶解|崩壊|溶菌|(本来「分解」の意を表す語尾
helicase	ヘリカーゼ(ヘリケース)|核酸のリン酸エステル骨格に沿って動きながら絡み合う核酸をほどく酵素の総称|すべての生物に必須と考えられる
embarassed	恥ずかしく
nanotube	ナノチューブ
mignon	かわいらしい|愛くるしい
lifesaving	救命の
smokeless	煙のない|煙を出さない|無煙の
volition	決断力|決意|選択|意志力
scrimmage	スクリメージ|つかみ合い|小ぜり合い|組み打ち|乱闘|練習試合|スクリメージをする|せわしなく動き回る|乱闘する|練習試合をする|と戦う
thorax	胸|胸部
placental	胎盤の
warship	軍艦
kerb	=curb3
inboard	機内発動機|船内の|内向きの|運が良い|順調で
epicenter	中心|中核|震央(震源focus･hypocenterの真上の地表の1点)
metamorphic	変態の|変態を特色とする|変成の
flatiron	アイロン|こて
trophic	栄養の
bursa	滑液嚢
paratrooper	落下傘降下兵
insemination	受精
typescript	〈C〉タイプライターで打った原稿|〈U〉タイプライター印刷物
booby	田舎者|まぬけ(pl|boobies|ぱいぱい)
conceivably	考えられる限り
quetzal	ケツァル(中南米産の長い美しい尾を持つ鳥)
xylene	キシレン(xylene)|芳香族化合物|医学･生物学分野で薬剤･溶剤の原料として使われる|キシロールとも呼ばれる
schism	〈U〉(団体|特に教会の)分裂|分離|〈C〉(教会の)分派
conch	ホラガイ|巻き貝(の貝殻)|丸屋根|半円形屋根|オレンジを帯びたピンク|まじめ学生
cytotoxicity	細胞毒性
exuberant	豊富な|あふれるばかりの|元気な|生き生きした|(植物など)生い茂る
pretest	(新製品などの)試用|予備テスト|〜‘を'試用(予備テスト)する|試用(予備テスト)する
